participantId	questionId	score
1	1	1
1	2	4
1	3	3
1	4	3
1	5	3
1	6	3
1	7	3
1	8	3
1	9	3
1	10	4
1	11	4
1	12	3
1	13	3
1	14	3
1	15	3
1	16	3
1	17	3
1	18	3
1	19	4
1	20	3
1	21	3
1	22	2
1	23	2
1	24	4
1	25	2
1	26	2
1	27	3
1	28	3
1	29	3
2	1	4
2	2	4
2	3	4
2	4	3
2	5	1
2	6	4
2	7	3
2	8	2
2	9	4
2	10	3
2	11	4
2	12	3
2	13	3
2	14	3
2	15	3
2	16	4
2	17	4
2	18	4
2	19	4
2	20	4
2	21	3
2	22	3
2	23	4
2	24	4
2	25	4
2	26	4
2	27	3
2	28	3
2	29	3
3	4	3
3	5	3
3	6	3
3	7	4
3	8	3
3	9	4
3	10	4
3	11	3
3	12	3
3	13	2
3	14	1
3	15	3
3	16	3
3	17	4
3	18	1
3	19	4
3	20	3
3	21	4
3	22	2
3	23	3
3	24	4
3	25	2
3	26	3
3	27	3
3	28	3
3	29	3
4	1	3
4	2	3
4	3	4
4	4	3
4	5	4
4	6	3
4	7	3
4	8	3
4	9	3
4	10	3
4	11	3
4	12	4
4	13	4
4	14	2
4	15	3
4	16	4
4	17	3
4	18	3
4	19	4
4	20	4
4	21	3
4	22	4
4	23	3
4	24	4
4	25	3
4	26	2
4	27	3
4	28	3
4	29	3
5	1	1
5	2	4
5	3	3
5	4	3
5	5	1
5	6	2
5	7	2
5	8	2
5	9	3
5	10	3
5	11	3
5	12	3
5	13	2
5	15	3
5	16	3
5	17	2
5	18	2
5	19	3
5	20	2
5	21	3
5	24	4
5	25	3
5	26	3
5	27	3
5	28	3
5	29	3
6	1	2
6	2	4
6	3	4
6	4	3
6	5	0
6	6	1
6	7	1
6	8	1
6	9	4
6	10	3
6	11	3
6	12	4
6	13	3
6	14	3
6	15	3
6	16	3
6	17	4
6	18	3
6	19	3
6	20	2
6	21	2
6	22	3
6	23	2
6	24	2
6	25	2
6	26	1
6	27	3
6	28	3
6	29	3
7	1	2
7	2	3
7	3	4
7	4	3
7	5	3
7	6	2
7	7	1
7	8	1
7	9	1
7	10	3
7	11	4
7	12	1
7	13	1
7	14	3
7	15	3
7	16	4
7	17	4
7	18	4
7	19	4
7	20	3
7	21	3
7	22	3
7	23	3
7	24	4
7	25	4
7	26	4
7	27	3
7	28	3
7	29	3
8	4	3
8	5	0
8	6	3
8	7	3
8	8	0
8	9	4
8	10	3
8	11	3
8	12	3
8	13	1
8	14	1
8	15	3
8	16	4
8	17	4
8	18	0
8	19	4
8	20	3
8	21	3
8	22	4
8	23	4
8	24	4
8	25	2
8	26	1
8	27	3
8	28	3
8	29	3
9	1	3
9	2	3
9	3	3
9	4	3
9	5	3
9	6	4
9	7	3
9	8	2
9	9	3
9	10	3
9	11	1
9	12	3
9	13	2
9	14	3
9	15	3
9	16	3
9	17	3
9	18	4
9	19	4
9	20	4
9	21	4
9	22	4
9	23	3
9	24	4
9	25	3
9	26	3
9	27	3
9	28	3
9	29	3
10	1	3
10	2	4
10	3	1
10	4	3
10	5	3
10	6	1
10	7	1
10	8	3
10	9	4
10	10	2
10	11	4
10	12	3
10	13	3
10	14	3
10	15	3
10	16	4
10	17	4
10	18	4
10	19	3
10	20	2
10	21	4
10	22	3
10	23	2
10	24	4
10	25	2
10	26	2
10	27	3
10	28	3
10	29	3
11	1	3
11	2	4
11	3	3
11	4	3
11	5	3
11	6	3
11	7	1
11	8	2
11	9	4
11	10	4
11	11	4
11	12	1
11	13	2
11	14	3
11	15	3
11	16	3
11	17	4
11	18	3
11	19	4
11	20	2
11	21	1
11	22	4
11	23	1
11	24	4
11	25	2
11	26	1
11	27	3
11	28	3
11	29	3
12	1	3
12	2	4
12	3	3
12	4	3
12	5	3
12	6	4
12	7	3
12	8	3
12	9	4
12	10	2
12	11	4
12	12	2
12	13	4
12	14	3
12	15	3
12	16	4
12	17	4
12	18	4
12	19	4
12	20	4
12	21	2
12	22	2
12	23	2
12	24	4
12	25	3
12	26	1
