participantId	age_groups	job	district
1	25-44	Expert	Lüleburgaz
2	45-64	Expert	Kırklareli Merkez
3	25-44	Expert	Babaeski
4	25-44	Expert	Lüleburgaz
5	25-44	Expert	Babaeski
6	25-44	Expert	Lüleburgaz
7	25-44	Worker/Farmer	Lüleburgaz
8	25-44	Worker/Farmer	Lüleburgaz
9	45-64	Worker/Farmer	Lüleburgaz
10	25-44	Worker/Farmer	Lüleburgaz
11	25-44	Worker/Farmer	Lüleburgaz
12	45-64	Worker/Farmer	Lüleburgaz
13	25-44	Worker/Farmer	Lüleburgaz
14	45-64	Worker/Farmer	Lüleburgaz
15	45-64	Worker/Farmer	Babaeski
16	45-64	Worker/Farmer	Babaeski
17	25-44	Expert	Lüleburgaz
18	25-44	Expert	Babaeski
19	25-44	Expert	Babaeski
20	25-44	Expert	Babaeski
