Source,Target,Type,Id,Label,Weight,Color
Clenze,Bergen an der Dumme,Undirected,0,,2,"#000000"
Dannenberg (Elbe),Damnatz,Undirected,1,,2,"#000000"
Gohrde,Dannenberg (Elbe),Undirected,2,,3,"#000000"
Gorleben,Dannenberg (Elbe),Undirected,3,,2,"#000000"
Gorleben,Gartow,Undirected,4,,2,"#000000"
Gusborn,Damnatz,Undirected,5,,1,"#000000"
Gusborn,Dannenberg (Elbe),Undirected,6,,3,"#000000"
Gusborn,Gorleben,Undirected,7,,1.5,"#000000"
Hitzacker (Elbe),Damnatz,Undirected,8,,1,"#000000"
Hitzacker (Elbe),Dannenberg (Elbe),Undirected,9,,7.5,"#000000"
Hitzacker (Elbe),Gohrde,Undirected,10,,2,"#000000"
Hohbeck,Gartow,Undirected,11,,1.5,"#000000"
Hohbeck,Gorleben,Undirected,12,,1.5,"#000000"
Jameln,Clenze,Undirected,13,,1,"#000000"
Jameln,Dannenberg (Elbe),Undirected,14,,3,"#000000"
Jameln,Gusborn,Undirected,15,,1,"#000000"
Karwitz,Dannenberg (Elbe),Undirected,16,,3,"#000000"
Karwitz,Gohrde,Undirected,17,,2,"#000000"
Karwitz,Hitzacker (Elbe),Undirected,18,,2.5,"#000000"
Karwitz,Jameln,Undirected,19,,3,"#000000"
Kusten,Clenze,Undirected,20,,2,"#000000"
Kusten,Jameln,Undirected,21,,1,"#000000"
Kusten,Karwitz,Undirected,22,,1,"#000000"
Langendorf,Gorleben,Undirected,23,,1.5,"#000000"
Langendorf,Gusborn,Undirected,24,,1,"#000000"
Lubbow,Lemgow,Undirected,25,,2,"#000000"
Luchow (Wendland),Dannenberg (Elbe),Undirected,26,,5,"#000000"
Luchow (Wendland),Gorleben,Undirected,27,,1,"#000000"
Luchow (Wendland),Gusborn,Undirected,28,,1,"#000000"
Luchow (Wendland),Jameln,Undirected,29,,3,"#000000"
Luchow (Wendland),Kusten,Undirected,30,,3,"#000000"
Luchow (Wendland),Langendorf,Undirected,31,,1,"#000000"
Luchow (Wendland),Lubbow,Undirected,32,,3,"#000000"
Luckau (Wendland),Bergen an der Dumme,Undirected,33,,1.5,"#000000"
Luckau (Wendland),Clenze,Undirected,34,,2,"#000000"
Luckau (Wendland),Kusten,Undirected,35,,1,"#000000"
Luckau (Wendland),Luchow (Wendland),Undirected,36,,2,"#000000"
Neu Darchau,Gohrde,Undirected,37,,2,"#000000"
Neu Darchau,Hitzacker (Elbe),Undirected,38,,3,"#000000"
Prezelle,Gartow,Undirected,39,,2,"#000000"
Prezelle,Gorleben,Undirected,40,,1,"#000000"
Prezelle,Hohbeck,Undirected,41,,1,"#000000"
Prezelle,Lemgow,Undirected,42,,1,"#000000"
Schnackenburg,Gartow,Undirected,43,,2.5,"#000000"
Schnega,Bergen an der Dumme,Undirected,44,,2,"#000000"
Schnega,Clenze,Undirected,45,,1.5,"#000000"
Trebel,Gartow,Undirected,46,,3,"#000000"
Trebel,Gorleben,Undirected,47,,1,"#000000"
Trebel,Gusborn,Undirected,48,,1,"#000000"
Trebel,Hohbeck,Undirected,49,,2,"#000000"
Trebel,Langendorf,Undirected,50,,1,"#000000"
Trebel,Prezelle,Undirected,51,,2,"#000000"
Waddeweitz,Clenze,Undirected,52,,1.5,"#000000"
Waddeweitz,Jameln,Undirected,53,,1,"#000000"
Waddeweitz,Karwitz,Undirected,54,,2,"#000000"
Waddeweitz,Kusten,Undirected,55,,3,"#000000"
Woltersdorf,Lemgow,Undirected,56,,1,"#000000"
Woltersdorf,Lubbow,Undirected,57,,3,"#000000"
Woltersdorf,Luchow (Wendland),Undirected,58,,3,"#000000"
Woltersdorf,Prezelle,Undirected,59,,2,"#000000"
Woltersdorf,Trebel,Undirected,60,,3,"#000000"
Wustrow (Wendland),Lubbow,Undirected,61,,2,"#000000"
Wustrow (Wendland),Luchow (Wendland),Undirected,62,,2,"#000000"
Wustrow (Wendland),Luckau (Wendland),Undirected,63,,2,"#000000"
Zernien,Gohrde,Undirected,64,,2,"#000000"
Zernien,Jameln,Undirected,65,,2,"#000000"
Zernien,Karwitz,Undirected,66,,3,"#000000"
Zernien,Kusten,Undirected,67,,1.5,"#000000"
Zernien,Waddeweitz,Undirected,68,,2,"#000000"
