Id,Label,pop(2018),pop_chg_rate(2018-2017),lon,lat,dist_luleburgaz,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,modularity_class,Clustering Coefficient,Cluter-ID,clustering,triangles,eigencentrality,Size,Color
Luleburgaz,Luleburgaz,114799,5.655555,27.35985,41.407198,,9,21,4,0.486111,0.580952,258.296032,0.434111,0.050642,0.021984,1,0.138889,0,0.138889,5,0.937512,50.909092,#d1d874
Yenibedir,Yenibedir,224,-13.303966,27.422495,41.358701,7.46,7,19,4,0.416667,0.509524,51.913492,0.08725,0.110159,0.009611,0,0.52381,0,0.52381,11,1,100,#e6c6f3
Turgutbey,Turgutbey,1014,-22.429024,27.386681,41.459446,7.16,4,16.5,5,0.406977,0.472381,43.591667,0.073263,0.414747,0.030386,1,0.333333,0,0.333333,2,0.504126,26.363636,#d1d874
Akcakoy,Akcakoy,299,27.120306,27.56398,41.366331,22.63,7,14.5,5,0.37234,0.479524,43.652381,0.073365,0.109689,0.008047,0,0.52381,0,0.52381,11,0.936667,100,#e6c6f3
Kayabeyli,Kayabeyli,361,33.806036,27.428761,41.298689,14.97,5,14,5,0.353535,0.449048,59.607143,0.10018,0.155844,0.015612,2,0,1,0,0,0.343016,10,#7de3d0
Buyukkaristiran,Buyukkaristiran,5953,-4.19077,27.544827,41.298955,20.12,5,13.5,5,0.336538,0.423333,0.616667,0.001036,0.251497,0.000261,0,0.9,0,0.9,9,0.78982,83.63636,#e6c6f3
Karamusul,Karamusul,472,-23.037668,27.449125,41.303631,16.81,6,12.5,5,0.360825,0.459048,28.87381,0.048527,0.162037,0.007863,0,0.6,0,0.6,9,0.847502,83.63636,#e6c6f3
Evrensekiz,Evrensekiz,2927,68.212269,27.494251,41.372973,15.45,7,11.5,4,0.421687,0.511905,61.56746,0.103475,0.117724,0.012181,0,0.428571,0,0.428571,9,0.982026,83.63636,#e6c6f3
Sakizkoy,Sakizkoy,1151,-21.48772,27.472266,41.438928,10.84,5,11,4,0.360825,0.442857,35.321825,0.059364,0.130233,0.007731,1,0.1,0,0.1,1,0.521796,18.181818,#d1d874
Tatarkoy,Tatarkoy,765,-19.418086,27.351051,41.485486,10.23,8,11,5,0.426829,0.529524,151.318254,0.254316,0.067164,0.017081,3,0.285714,2,0.285714,8,0.714386,75.454544,#ffb598
