Id,Label,pop_2018,elder_rate(2011),pop_grw_rate(2017-2018),pop_grw_rate(2011-2018),lon,lat,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,modularity_class,Clustering Coefficient,Cluter-ID,clustering,triangles,eigencentrality,Size,Color
Adendorf,Adendorf,10754,21.1,-3.982609,7.723889,10.439405,53.282785,4,7,4,0.385321,0.448413,1.066667,0.001239,0.467706,0.000579,0,0.833333,0,0.833333,5,0.368046,28.625069,"#7de3d0"
Lüneburg,Lüneburg,75351,18.1,5.719306,10.717146,10.416635,53.241056,15,53.5,3,0.545455,0.646825,472.794147,0.549122,0.023179,0.012728,0,0.180952,0,0.180952,19,1,40.273689,"#7de3d0"
Reppenstedt,Reppenstedt,7581,20.1,27.800001,7.445686,10.362937,53.246278,3,5,4,0.375,0.426587,7.778815,0.009035,0.769231,0.00695,2,0.666667,0,0.666667,2,0.249378,66.784912,"#ffb598"
Bardowick,Bardowick,7015,16,3.93562,11.929368,10.385173,53.292034,7,26,4,0.403846,0.490079,66.596221,0.077348,0.093677,0.007246,0,0.380952,0,0.380952,8,0.449379,38.132103,"#7de3d0"
Amt Neuhaus,Amt Neuhaus,5005,23.9,-19.495074,4.288064,10.930723,53.284082,4,7,6,0.285714,0.370238,0,0,0.378151,0,3,1,2,1,6,0.269076,10,"#e6c6f3"
Bleckede,Bleckede,9457,21.4,-0.52843,-1.248325,10.730488,53.292439,9,17,5,0.368421,0.484524,83.647763,0.097152,0.062851,0.006106,3,0.361111,2,0.361111,13,0.560504,32.772335,"#e6c6f3"
Deutsch Evern,Deutsch Evern,3721,20.3,-6.541276,-0.498228,10.432784,53.199298,6,15,4,0.411765,0.484127,29.996781,0.034839,0.15748,0.005487,2,0.466667,1,0.466667,7,0.44502,25.553001,"#ffb598"
Scharnebeck,Scharnebeck,3507,17.9,-11.695616,8.388505,10.500243,53.292018,8,8,4,0.446809,0.529762,63.597481,0.073865,0.090752,0.006703,0,0.357143,0,0.357143,10,0.624029,19.364433,"#7de3d0"
Brietlingen,Brietlingen,3498,13.7,-0.142918,6.902654,10.448591,53.333743,5,11,4,0.388889,0.460317,64.179365,0.07454,0.138728,0.010341,0,0.3,0,0.3,3,0.330925,33.235199,"#7de3d0"
Melbeck,Melbeck,3335,16.6,-4.329031,-2.463115,10.404352,53.18008,4,11.5,4,0.392523,0.450397,16.25,0.018873,0.361446,0.006822,2,0.666667,1,0.666667,4,0.32593,28.209135,"#ffb598"
Dahlenburg,Dahlenburg,3315,22.5,-4.055903,-1.543026,10.740733,53.185556,10,20.5,5,0.365217,0.490476,80.692677,0.09372,0.046814,0.004387,1,0.355556,2,0.355556,16,0.589574,28.537067,"#d1d874"
Neetze,Neetze,2629,16.7,-14.064306,0.48989,10.626866,53.26444,8,12.5,4,0.451613,0.53373,132.199023,0.153541,0.099025,0.015204,3,0.321429,3,0.321429,9,0.658223,16.52046,"#e6c6f3"
