Id,Pop_2018,Elder_Rate_2011,Pop_Chg_Rate_2016-2018,Pop_Chg_Rate2011-2018,Pop_Chg_Rate_2001-2018,Pop_Chg_Rate_1995-2018,Dist_to_cen(km),Fac_Soc,Fac_Comm,Fac_Trans1,Fac_Rec_Att,Fac_Env,Fac_Relig,Settlements,Fac_all,Fac_Soc_per1000,Fac_Comm_per1000,Fac_Trans_per1000,Fac_Rec_Att_per1000,Fac_Env_per1000,Fac_Relig_per1000,Fac_all_per1000,Urban (ha),Indust(ha),Mine(ha),Urban_for(ha),Agri(ha),Forest_tot (ha),WetWat(ha),Urban (per),Indust (per),Mine (per),Urban_for (per),Agri (per),Forest_tot (per),WetWat (per),Degree,Weig_Degr,Clos_cent,Betw_cent,Brid_cent,Eigen_cent,Clust_Coef,Triang,Eccentricity,Modul,Cluter-ID,SUM(ha)
Adendorf,10754,21.1,-3.982608812,7.723888753,5.982919674,6.362575024,7,31,49,62,23,31,5,2,201,2.882648317,4.556444114,5.765296634,2.138739074,2.882648317,0.464943277,18.69071973,1254.341346,103.9868473,0,240.4695844,1787.273938,1221.845456,0,28.7202381,2.380952381,0,5.505952381,40.92261905,27.97619048,0,4,7,0.385321,1.066667,0.000579,0.368046,0.833333,5,4,0,0,4367.447587
Amelinghausen,4030,22.3,2.362894585,2.539272548,4.424450996,8.57044987,26,8,32,15,19,5,6,3,85,1.985111663,7.94044665,3.722084367,4.714640199,1.240694789,1.488833747,21.09181141,545.9309484,0,0,214.4728726,4744.399909,2326.705709,0,7.167235495,0,0,2.815699659,62.28668942,30.54607509,0,5,9,0.313433,53.266667,0.006212,0.182801,0.4,4,5,2,1,7617.036565
Amt Neuhaus,5005,23.9,-19.49507394,4.288064201,-6.89053104,-6.931183525,57,21,44,84,39,14,14,43,216,4.195804196,8.791208791,16.78321678,7.792207792,2.797202797,2.797202797,43.15684316,1117.858609,0,0,103.9868473,44818.33119,18594.14813,1722.282159,1.68726702,0,0,0.156955072,67.64763586,28.06552874,2.599568374,4,7,0.285714,0,0,0.269076,1,6,6,3,2,66252.62009
Artlenburg,1674,17.8,9.041837717,7.354565119,1.96513514,9.159860111,17,3,6,12,17,3,1,2,42,1.792114695,3.584229391,7.168458781,10.15531661,1.792114695,0.597371565,25.08960573,279.4646521,0,0,0,2788.147343,12.99835591,246.9687624,8.3984375,0,0,0,83.7890625,0.390625,7.421875,2,6,0.304348,2.9,0.003742,0.085155,0,0,5,3,0,3327.579114
Bardowick,7015,16,3.935619604,11.9293678,12.70830875,16.06454195,7,6,41,36,18,6,4,3,111,0.85531005,5.844618674,5.131860299,2.56593015,0.85531005,0.5702067,15.82323592,831.8947785,58.49260161,214.4728726,45.4942457,4016.491977,1410.321617,0,12.73631841,0.895522388,3.28358209,0.696517413,61.49253731,21.5920398,0,7,26,0.403846,66.596221,0.007246,0.449379,0.380952,8,4,0,0,6531.673847
Barendorf,2459,11,-7.467343637,3.8270223,11.10398027,21.0008723,10,13,6,6,2,1,1,1,29,5.286701911,2.440016267,2.440016267,0.813338756,0.406669378,0.406669378,11.79341196,331.4580758,0,6.499177957,0,961.8783376,1228.344634,0,13.11053985,0,0.257069409,0,38.04627249,48.58611825,0,8,17,0.451613,128.095815,0.014491,0.67871,0.357143,10,4,1,2,2528.180225
Barnstedt,732,17.1,-7.457765378,-5.174466205,-4.634169285,5.098733554,15,2,0,16,2,1,1,2,22,2.732240437,0,21.8579235,2.732240437,1.366120219,1.366120219,30.05464481,129.9835591,0,0,0,3405.569249,1923.756675,0,2.380952381,0,0,0,62.38095238,35.23809524,0,3,3.5,0.302158,0.5,0.000337,0.169008,0.666667,2,5,2,1,5459.309484
Barum,2025,18.6,11.23642793,13.06653248,11.97547209,13.86729045,15,5,5,11,6,6,1,4,34,2.469135802,2.469135802,5.432098765,2.962962963,2.962962963,0.49382716,16.79012346,493.9375247,0,0,123.4843812,2014.745167,227.4712285,0,18.05225653,0,0,4.513064133,73.63420428,8.313539192,0,2,2,0.291667,2.65,0.002885,0.070849,0,0,5,0,0,2736.15392
Betzendorf,1137,19.3,-1.317523819,-3.10706338,3.903401403,5.843969004,16,3,1,18,4,1,2,6,29,2.638522427,0.879507476,15.83113456,3.518029903,0.879507476,1.759014952,25.5057168,214.4728726,0,0,0,5062.859628,3737.027325,0,2.379235761,0,0,0,56.16438356,41.45638068,0,5,8,0.315789,4.316667,0.001011,0.24665,0.6,6,5,2,1,9014.359826
Bleckede,9457,21.4,-0.528429557,-1.248325347,-1.231048997,1.7495906,25,38,53,135,42,19,8,21,295,4.018187586,5.604314265,14.27514011,4.4411547,2.009093793,0.845934229,31.19382468,1481.812574,77.99013548,0,136.4827371,26568.63949,9826.757071,1442.817506,3.761134939,0.19795447,0,0.346420323,67.43648961,24.94226328,3.662157704,9,17,0.368421,83.647763,0.006106,0.560504,0.361111,13,5,3,2,39398.01677
Boitze,385,17.1,0,-4.744095857,-8.783250607,-1.986662072,25,2,0,9,0,1,0,7,12,5.194805195,0,23.37662338,0,2.597402597,0,31.16883117,0,45.4942457,0,0,4198.46896,2859.638301,0,0,0.640439158,0,0,59.10338518,40.25617566,0,3,12,0.28,1.190909,0.000988,0.202934,0.666667,2,6,1,2,7103.601507
Brietlingen,3498,13.7,-0.142918395,6.902653896,10.18245614,20.34057896,11,7,17,15,15,6,2,3,62,2.001143511,4.859919954,4.288164666,4.288164666,1.715265866,0.571755289,17.72441395,584.9260161,0,0,285.9638301,3996.994443,1124.357787,0,10.25056948,0,0,5.011389522,70.04555809,19.70387244,0,5,11,0.388889,64.179365,0.010341,0.330925,0.3,3,4,0,0,5706.278246
Dahlem,628,15.3,24.47470626,4.858767916,9.758628066,7.706041467,29,4,2,8,1,0,0,5,15,6.369426752,3.184713376,12.7388535,1.592356688,0,0,23.88535032,0,0,0,0,3288.584046,1481.812574,0,0,0,0,0,68.9373297,31.0626703,0,3,5.5,0.283784,0,0,0.24672,1,3,6,1,2,4770.39662
Dahlenburg,3315,22.5,-4.055903268,-1.543026445,-1.885866818,-0.19629045,25,13,23,37,10,5,3,16,91,3.921568627,6.938159879,11.16138763,3.016591252,1.508295626,0.904977376,27.45098039,552.4301263,19.49753387,0,0,8006.987243,5329.325925,0,3.971962617,0.140186916,0,0,57.57009346,38.31775701,0,10,20.5,0.365217,80.692677,0.004387,0.589574,0.355556,16,5,1,2,13908.24083
Deutsch Evern,3721,20.3,-6.541276048,-0.498227965,4.65309073,5.790692307,7,11,12,24,2,2,2,1,53,2.956194571,3.224939532,6.449879065,0.537489922,0.537489922,0.537489922,14.24348293,578.4268382,0,0,0,779.9013548,1683.287091,0,19.01709402,0,0,0,25.64102564,55.34188034,0,6,15,0.411765,29.996781,0.005487,0.44502,0.466667,7,4,2,1,3041.615284
Echem,1032,15.1,26.872138,0.972293496,2.088628733,9.053732416,17,2,1,7,1,2,1,1,14,1.937984496,0.968992248,6.782945736,0.968992248,1.937984496,0.968992248,13.56589147,240.4695844,0,0,0,2521.681047,214.4728726,0,8.07860262,0,0,0,84.71615721,7.205240175,0,5,10.5,0.403846,39.123482,0.011584,0.409534,0.5,5,4,0,3,2976.623504
Embsen,2747,16.8,38.18937856,4.222165988,6.39549185,8.388462964,10,6,11,26,0,4,2,4,49,2.184200946,4.004368402,9.464870768,0,1.456133964,0.728066982,17.83764106,389.9506774,90.9884914,0,0,3340.57747,2469.687624,0,6.198347107,1.446280992,0,0,53.09917355,39.25619835,0,8,17,0.42,144.768609,0.01356,0.482938,0.428571,12,4,2,1,6291.204262
Handorf,2097,16.8,16.97544222,10.38262562,4.365766208,13.33822515,16,4,7,5,1,2,3,1,22,1.907486886,3.338102051,2.384358608,0.476871722,0.953743443,1.430615165,10.49117787,357.4547876,0,0,0,2411.195022,0,0,12.91079812,0,0,0,87.08920188,0,0,3,5.5,0.295775,0.833333,0.000444,0.136742,0.666667,2,5,0,0,2768.64981
Hittbergen,896,15.3,7.874178484,-4.550474934,4.856295685,6.758852679,21,2,2,19,0,3,1,2,27,2.232142857,2.232142857,21.20535714,0,3.348214286,1.116071429,30.13392857,136.4827371,0,0,51.99342365,3769.523215,58.49260161,175.4778048,3.296703297,0,0,1.25588697,91.05180534,1.412872841,4.238618524,5,9.5,0.352941,13.311111,0.00373,0.356631,0.6,6,5,3,3,4139.976359
Hohnstorf (Elbe),2396,19.7,-12.57020664,-1.541852125,-1.406980355,5.136882363,20,5,9,18,13,2,1,3,48,2.086811352,3.756260434,7.512520868,5.425709516,0.834724541,0.41736227,20.03338898,487.4383468,0,0,0,2125.231192,0,266.4662962,16.93002257,0,0,0,73.81489842,0,9.255079007,4,9,0.328125,11.711111,0.003261,0.207364,0.5,3,5,3,3,2879.135835
Kirchgellersen,2551,17.8,23.68018768,18.82812627,12.34726368,15.25754214,10,6,13,11,10,1,1,2,42,2.352018816,5.096040768,4.312034496,3.92003136,0.392003136,0.392003136,16.46413171,331.4580758,0,0,0,2762.150632,2502.183513,0,5.923344948,0,0,0,49.3612079,44.71544715,0,5,7,0.330709,33.329449,0.005807,0.246976,0.2,2,5,2,1,5595.792221
Ludersburg,634,17.1,-3.92774997,-0.449944129,0.653083165,10.14994934,17,4,2,13,5,1,1,6,26,6.309148265,3.154574132,20.50473186,7.886435331,1.577287066,1.577287066,41.00946372,0,0,0,513.4350586,3483.559385,1826.269006,0,0,0,0,9.669522644,65.60587515,34.39412485,0,7,11,0.378378,33.136111,0.00436,0.486944,0.428571,9,5,3,3,5309.828391
Luneburg,75351,18.1,5.719305578,10.71714556,5.836130708,6.721441384,0,226,536,367,215,163,37,20,1544,2.999296625,7.113376067,4.87053921,2.853313161,2.163209513,0.491035288,20.49076986,5764.770848,2359.201598,0,389.9506774,5725.77578,5966.245364,0,29.09150541,11.9055428,0,1.967858314,28.89471958,30.10823221,0,15,53.5,0.545455,472.794147,0.012728,1,0.180952,19,3,0,0,19815.99359
Mechtersen,700,20.3,-4.267451225,10.58685316,2.752480089,2.230143234,10,3,0,1,6,6,0,1,16,4.285714286,0,1.428571429,8.571428571,8.571428571,0,22.85714286,136.4827371,0,0,0,2573.674471,1332.331481,0,3.376205788,0,0,0,63.66559486,32.95819936,0,1,1,0.283784,0,0,0.056853,0,0,5,0,0,4042.488689
Melbeck,3335,16.6,-4.329031372,-2.463115205,1.12183886,9.344847207,8,20,20,19,8,3,2,1,72,5.997001499,5.997001499,5.697151424,2.3988006,0.899550225,0.59970015,21.5892054,363.9539656,142.9819151,0,90.9884914,2684.160496,1358.328193,0,8,3.142857143,0,2,59,29.85714286,0,4,11.5,0.392523,16.25,0.006822,0.32593,0.666667,4,4,2,1,4549.42457
