Id,Pop_2018,Elder_rate,Unemp_rate,Pop_Chg_Rate_2017_2018,Pop_Chg_Rate_2015-2018,Pop_Chg_Rate_2008-2018,Pop_Chg_Rate_2000-2018,Fac_Soc,Fac_Comm,Fac_Trans,Fac_Rec_Att,Fac_Env,Fac_Relig,Fac_Tot,Fac_Soc_per1000,Fac_Comm_per1000,Fac_Trans_per1000,Fac_Rec_Att_per1000,Fac_Env_per1000,Fac_Relig_per1000,Fac_Tot_per1000,TotArea(ha),Urban(ha),Indust(ha),Mine(ha),Urb_for(ha),For(ha),For_tot(ha),Agri(ha),Wet_Wat(ha),Cor18_sum(ha),Urb_per,Indust_per,Mine_per,For_tot_per,Agri_per,Wet_wat_per,Degree,Weig_ Deg,Eccentricity,Clos_cent,Betw_Cent,Brid_Cent,Eigen_Cent,Clust_Coef,Triang,Modularity_class,Cluter-ID
Celle,178764,23.4,6.2,2.2,3.450871292,-1.306568844,-0.825779545,449,890,33,747,275,120,2514,2.511691392,4.978631044,0.184600926,4.178693697,1.538341053,0.671276096,14.06323421,155012,9192.852638,2596.358358,105.297622,729.8893579,78156.62077,78886.51012,62400.49401,1203.906436,154385.4192,5.954482416,1.681738063,0.068204383,51.09712468,40.41864467,0.779805789,4,17.5,2,0.611111,3.910714,0.024162,0.625817,0.666667,4,1,1
Cuxhaven,198100,25.3,5.2,-2.9,0.674533485,-2.41039216,-1.584948746,525,1253,40,1581,621,158,4178,2.650176678,6.325088339,0.201918223,7.980817769,3.134780414,0.797576981,21.0903584,206018,9652.49527,1431.325761,456.2896953,763.0661469,18799.10849,19562.17463,167058.303,6420.834326,204581.4227,4.718168026,0.699636234,0.223035743,9.562048391,81.65858894,3.138522669,3,20,4,0.44,0,0,0.495363,1,3,2,1
Winsen (Luhe) Harburg,251511,22.3,3.9,4.7,8.913414465,3.077762264,4.976499824,802,1213,54,1062,374,112,3617,3.188727332,4.82285069,0.214702339,4.222479335,1.487012496,0.445308555,14.38108075,124878,12065.61909,1298.179179,386.0912807,1692.016239,36214.23353,37906.24977,72294.69741,1018.690061,124969.5268,9.654848984,1.038796587,0.308948342,30.33239442,57.8498609,0.815150771,5,24,3,0.611111,5.469048,0.021254,0.792725,0.6,6,1,1
Lüchow-Dannenberg,48357,27.8,7.5,-9.6,-2.347768133,-4.266903761,-4.1194893,204,362,19,392,138,87,1202,4.218623984,7.485989619,0.392911057,8.106375499,2.853775048,1.799119052,24.85679426,122631,2834.462897,266.2931649,105.297622,232.237523,46171.22555,46403.46307,72215.85914,987.8206655,122813.1966,2.307946521,0.21682781,0.085738035,37.78377599,58.80138386,0.804327787,3,14,4,0.44,0.958333,0.006114,0.247666,0.666667,2,1,2
Lüneburg,182930,20.1,5.4,7.3,8.133424062,3.609435292,5.951306655,566,984,70,721,366,128,2835,3.094079703,5.379106762,0.382660034,3.941398349,2.00076532,0.699721205,15.49773137,132726,7890.531848,1098.459305,105.297622,928.9500919,44556.57819,45485.52829,76906.73645,1419.992207,132906.5457,5.936902359,0.826489997,0.079226814,34.22369308,57.86527371,1.068414049,4,28,3,0.578947,6.184524,0.032084,0.510426,0.5,3,1,2
Osterholz,113105,23.4,3.4,3.6,4.089084518,0.377352253,1.780281655,246,496,39,356,140,77,1354,2.17497016,4.385305689,0.344812343,3.147517793,1.237787896,0.680783343,11.97117722,65320,5745.532899,599.159621,35.09920733,364.944679,7881.01685,8245.961529,49510.43618,1666.947373,65803.13681,8.731396674,0.910533525,0.053339718,12.53125904,75.24023714,2.533233906,5,28,4,0.52381,1.825,0.005893,0.734578,0.6,6,2,1
Rotenburg (Wümme),163377,21.1,4,0,1.964605211,-1.033344457,1.147867984,413,687,24,717,209,106,2156,2.527895603,4.204998256,0.146899502,4.388622634,1.279249833,0.648806136,13.19647196,207403,9844.013033,1264.892533,175.4960367,696.7125689,34099.81437,34796.52694,158662.0268,2469.551664,207212.507,4.750684781,0.610432523,0.084693747,16.79267697,76.56971535,1.191796625,7,23,3,0.647059,7.519048,0.012391,1,0.52381,11,2,1
Soltau-Fallingbostel,139099,22.4,5.5,-3.9,4.841780307,-1.846977797,-0.02954743,387,1031,71,1034,272,105,2900,2.782191101,7.411987146,0.510427825,7.433554519,1.955441808,0.754858051,20.84846045,188148,7469.192769,1597.758989,140.3968293,1194.364404,94072.4304,95266.79481,81676.45204,1666.947373,187817.5428,3.976834462,0.850697419,0.074751712,50.72305461,43.48712629,0.887535503,7,28,2,0.733333,14.138095,0.024599,0.97261,0.428571,9,1,1
Stade,201887,21.4,5.2,1.2,6.144332578,2.404258392,3.15858681,424,938,39,616,376,111,2504,2.100184757,4.646163448,0.193177371,3.051211817,1.862427992,0.549812519,12.4029779,130470,8235.263822,1165.032596,386.0912807,298.591101,8188.568728,8487.159828,99690.99769,12687.32167,130651.8669,6.303211747,0.891707577,0.295511492,6.496011141,76.30277321,9.710784832,5,21,3,0.578947,2.792857,0.009966,0.787581,0.7,7,2,1
Uelzen,92744,25.3,5.4,-2.3,-0.122881246,-3.432808309,-2.624810072,218,412,18,689,181,105,1623,2.35055637,4.442335892,0.194082636,7.429052014,1.951608729,1.13214871,17.49978435,146235,4749.64053,565.8729754,70.19841467,364.944679,53667.80255,54032.74723,86761.52072,30.8693958,146210.8493,3.248487067,0.387025298,0.048011769,36.95536104,59.34000189,0.021112931,5,30,3,0.578947,11.916667,0.029355,0.513088,0.4,4,1,2
