Id,Pop_2018, Elder_Rate_2000,Pop_Chg_Rate_2017-2018,Pop_Chg_Rate_2008-2018,Pop_Chg_Rate_2000-2018,Pop_Chg_Rate_1990-2018,Dist_to_center(km),Fac_Soc,Fac_Comm,Fac_Trans,Fac_Rec_Att,Fac_Env,Fac_Relig,Fac_Tot,Fac_Soc_per1000,Fac_Comm_per1000,Fac_Trans_per1000,Fac_Rec_Att_per1000,Fac_Env_per1000,Fac_Relig_per1000,Fac_Tot_per1000,Urban(ha),Indust(ha),Mine(ha),Agri(ha),Forest(ha),Wat(ha),LC_sum_ha,Urban (per),Indust (per),Mine (per),Agri (per),Forest (per),Wat (per),Degree,Weig_ Deg,Eccentricity,Clos_cent,Betw_Cent,Brid_Cent,Eigen_Cent,Clust_Coef,Triang,Modularity_class,Cluter-ID
Ağayeri,307,21.00371747,-6.493529311,-28.94711818,-31.16726737,-28.97471701,16.984103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.36944262,0,0,1942.239801,48.02241266,5.335823629,2072.96748,3.732303732,0,0,93.69369369,2.316602317,0.257400257,2,2,6,0.251799,1,0.001441,0.114894,0,0,4,2
Alpullu,2321,9.98509687,15.19456192,-19.5071133,-20.46964684,-17.31469954,11.629157,1,0,1,0,2,2,6,0.430848772,0,0.430848772,0,0.861697544,0.861697544,2.585092632,208.0971215,64.02988354,0,2310.411631,58.69405992,0,2641.232696,7.878787879,2.424242424,0,87.47474747,2.222222222,0,3,9,6,0.282258,32.935714,0.015815,0.183474,0.333333,1,1,5
Babaeski,29569,6.913416018,6.957080985,8.107622857,8.096500562,9.24848985,0,26,21,12,1,5,3,68,0.879299266,0.710203253,0.405830431,0.033819203,0.169096013,0.101457608,2.299705773,1024.478137,421.5300667,0,7072.63422,56.0261481,0,8574.668571,11.94772869,4.915992533,0,82.48288737,0.653391413,0,8,19,4,0.443038,255.561142,0.029021,0.919324,0.178571,5,4,5
Büyükmandıra,3402,10.26490066,-0.587716737,-10.93458515,-15.90880253,-7.261168033,12.257284,0,0,0,0,1,1,2,0,0,0,0,0.293944738,0.293944738,0.587889477,290.8023878,0,0,5960.114993,0,0,6250.917381,4.652155356,0,0,95.34784464,0,0,2,2,7,0.225806,4.416667,0.004454,0.06127,0,0,1,3
Çavuşköy,168,18.42105263,36.36764417,-12.04898071,-25.52957385,-23.78557827,14.103222,0,0,1,1,3,0,5,0,0,5.952380952,5.952380952,17.85714286,0,29.76190476,64.02988354,104.0485608,0,1934.236065,1528.71347,0,3631.027979,1.763409258,2.865540044,0,53.26965467,42.10139603,0,3,3,6,0.291667,28.598626,0.018487,0.187777,0.333333,1,2,0
Çengerli,200,15.65495208,15.11363781,-23.82754495,-24.88254578,-30.74207221,13.784602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.35450084,0,0,2681.251373,24.01120633,16.00747089,2766.624551,1.639344262,0,0,96.91417551,0.867888139,0.578592093,1,1,7,0.228758,0,0,0.059798,0,0,4,2
Çiğdemli,422,16.24605678,-4.728141196,-12.12901144,-22.61353558,-19.32736931,6.613178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.70526625,0,0,1416.661173,88.04108987,0,1587.40753,5.210084034,0,0,89.24369748,5.546218487,0,3,3,6,0.29661,14.55,0.009782,0.227549,0.333333,1,1,3
Demirkapı,228,13.39285714,17.6995771,-28.33077273,-21.5425295,-21.90311445,16.006941,1,0,0,1,2,1,5,4.385964912,0,0,4.385964912,8.771929825,4.385964912,21.92982456,56.0261481,66.69779536,0,1109.851315,176.0821797,0,1408.657438,3.977272727,4.734848485,0,78.78787879,12.5,0,7,17,6,0.324074,83.534066,0.008267,0.810028,0.285714,6,0,1
Düğüncülü,497,19.58525346,-54.80823649,-39.92098644,-30.97787159,-36.42137234,13.598064,0,0,0,0,1,1,2,0,0,0,0,2.012072435,2.012072435,4.024144869,112.0522962,0,50.69032447,4988.995093,5.335823629,0,5157.073537,2.172788412,0,0.982928091,96.74081738,0.103466115,0,2,2,6,0.277778,0,0,0.168635,1,1,1,5
Erikleryurdu,285,14.81481481,-61.24362524,-31.60908347,-29.6510802,-28.0450882,22.532078,0,0,0,0,2,1,3,0,0,0,0,7.01754386,3.50877193,10.52631579,82.70526625,0,0,4362.035816,250.7837105,10.67164726,4706.196441,1.757369615,0,0,92.68707483,5.328798186,0.22675737,3,3,6,0.263158,28.000885,0.015687,0.119771,0.333333,1,2,0
Ertuğrulköy,248,13.43963554,24.49102001,-31.47029458,-31.72614816,-26.16707212,10.47835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.02241266,0,0,2022.277155,0,0,2070.299568,2.319587629,0,0,97.68041237,0,0,4,4,6,0.294118,48.133333,0.010371,0.250567,0.166667,1,4,2
Hazinedar,477,12.19512195,8.421102396,-32.16906663,-27.2496975,-23.69134799,18.686182,0,0,0,0,0,2,2,0,0,0,0,0,4.192872117,4.192872117,88.04108987,85.37317806,0,1421.996997,0,0,1595.411265,5.518394649,5.351170569,0,89.13043478,0,0,1,5,7,0.246479,0,0,0.167394,0,0,0,1
Kadıköy,222,14.15384615,-26.66824708,-30.34618947,-21.1748778,-20.30658778,7.751238,0,0,0,0,1,1,2,0,0,0,0,4.504504505,4.504504505,9.009009009,56.0261481,0,0,3326.886032,0,0,3382.912181,1.65615142,0,0,98.34384858,0,0,4,4,4,0.384615,58.383944,0.031653,0.607288,0.166667,1,4,1
Karabayır,158,23.10606061,-37.2713948,-35.56406221,-28.51967056,-27.47455158,21.222461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2059.627921,258.787446,0,2318.415367,0,0,0,88.83774453,11.16225547,0,3,3,7,0.253623,28.48898,0.01368,0.131676,0,0,3,4
Karacaoğlan,220,17.06484642,-9.04983552,-10.87642212,-15.91917015,-17.08893725,13.33648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.02241266,114.720208,0,1048.489343,8.003735443,45.35450084,1264.5902,3.797468354,9.071729958,0,82.91139241,0.632911392,3.58649789,7,15,5,0.35,58.448718,0.009726,1,0.380952,8,3,1
