Id,pop_2018,Pop_chg_rate_2017-2018,Pop_chg_rate_2013-2018,Pop_chg_rate_2008-2018,Pop_chg_rate_2000-2018,Pop_chg_rate_1990-2018,Dist_to_Lule,Fac_Soc,Fac_Comm,Fac_Transp,Fac_Rec_Att,Fac_Env,Fac_Relig,Settle,Fac_Tot,Fac_Soc_per1000,Fac_Comm_per1000,Fac_Trans_per1000,Fac_Rec_Att(1000),Fac_Env_per1000,Fac_Relig_per1000,Fac_Tot_per1000,Urban (ha),Indust(ha),Mine(ha),Agri(ha),Forest(ha),Wat(ha),LC_sum_ha,Urban (per),Indust (per),Mine (per),Agri (per),Forest (per),Wat (per),Degree,Weig_ Deg,Eccentricity,Clos_cent,Betw_Cent,Brid_Cent,Eigen_Cent,Clust_Coef,triangles,modularity_class,Cluter-ID
Ahmetbey,3899,-2.30562418,-11.70507025,-13.26333234,-7.939596863,-0.779185794,21.22,5,7,0,3,2,3,1,20,1.282380097,1.795332136,0,0.769428058,0.512952039,0.769428058,5.12952039,228.5379511,0,0,6574.037,0,0,13605.1499,1.679790026,0,0,48.32020997,0,0,4,5,4,0.357143,56.686111,0.022996,0.422879,0.166667,1,0,0
Akcakoy,299,27.12030622,-16.67632179,-39.08663087,-18.2130526,-22.15445432,22.63,0,0,0,0,1,2,4,3,0,0,0,0,3.344481605,6.688963211,10.03344482,85.70173167,124.981692,0,7002.545658,0,0,14426.45816,0.594059406,0.866336634,0,48.53960396,0,0,7,14.5,5,0.37234,43.652381,0.008047,0.936667,0.52381,11,0,0
Alacaoglu,586,-10.18684531,-18.56498693,-31.37888183,-30.3535589,-28.01484624,14.73,0,1,0,0,2,2,6,5,0,1.706484642,0,0,3.412969283,3.412969283,8.532423208,99.98535361,0,0,5288.511025,0,0,10776.99276,0.927766733,0,0,49.07223327,0,0,4,4,6,0.304348,16.8,0.006321,0.186902,0.333333,2,2,1
Ayvali,590,41.5284587,-3.694479527,-4.474648701,-6.060133024,-16.71009777,8.63,4,1,0,7,2,1,2,15,6.779661017,1.694915254,0,11.86440678,3.389830508,1.694915254,25.42372881,132.123503,78.5599207,0,8680.871237,121.4107865,46.42177132,18072.35267,0.731080814,0.4346967,0,48.03398538,0.671803991,0.256866232,4,5,5,0.380435,10.407143,0.00594,0.448822,0.666667,4,1,2
Buyukkaristiran,5953,-4.19076969,0.134431193,3.243712172,5.570999087,13.34429627,20.12,13,33,1,12,9,7,1,75,2.183772888,5.543423484,0.16798253,2.015790358,1.511842768,1.175877709,12.59868974,296.3851554,792.7410179,0,8720.151197,0,0,19618.55474,1.510738988,4.040771751,0,44.44848926,0,0,5,13.5,5,0.336538,0.616667,0.000261,0.78982,0.9,9,0,0
Celaliye,1285,3.898640416,-4.919540883,-5.966284107,-4.123285492,-5.286335772,15.78,3,0,0,0,0,0,1,3,2.33463035,0,0,0,0,0,2.33463035,71.41810972,0,0,4856.431461,824.8791673,7.141810973,11512.59929,0.620347395,0,0,42.18362283,7.165012407,0.062034739,6,6,6,0.333333,44.515079,0.00696,0.411185,0.333333,5,3,2
Cengelli,200,30.45920748,-17.23553925,-34.00373028,-32.34531221,-32.724669,21.44,0,0,0,0,1,2,5,3,0,0,0,0,5,10,15,74.98901521,0,0,4020.839577,0,0,8191.657185,0.915431561,0,0,49.08456844,0,0,3,3,6,0.273438,14.1,0.008315,0.130636,0,0,2,1
Cesmekolu,254,15.87334916,-27.19780003,-11.16399711,-2.564557876,-21.05481847,19.72,0,0,0,1,0,1,6,2,0,0,0,3.937007874,0,3.937007874,7.874015748,46.42177132,0,0,3599.47273,292.8142499,60.70539327,7938.122896,0.584795322,0,0,45.34412955,3.688708952,0.764732344,2,2,7,0.261194,1.333333,0.002241,0.132086,0,0,3,2
Ceylankoy,425,-2.350177345,-26.4119444,-22.07878376,-25.94767328,-18.97571619,17.81,0,0,0,0,0,1,1,1,0,0,0,0,0,2.352941176,2.352941176,71.41810972,0,0,2760.309941,564.2030668,0,6791.862235,1.051524711,0,0,40.64143007,8.307045216,0,3,5,6,0.286885,6.738889,0.005034,0.177818,0.333333,1,3,2
Ciftlikkoy,910,7.722046094,-11.32176246,-12.77454556,-33.46290977,-8.452782884,21.71,1,0,0,0,2,2,0,5,1.098901099,0,0,0,2.197802198,2.197802198,5.494505495,92.84354264,0,0,4956.416815,0,178.5452743,10277.06599,0.903405142,0,0,48.22793607,0,1.737317582,5,7,5,0.339806,32.066667,0.010935,0.675493,0.6,6,0,0
Davutlu,119,-33.06086226,-65.36439616,-39.13605019,5.905258814,-12.31573165,24.89,0,0,0,0,0,2,0,2,0,0,0,0,0,16.80672269,16.80672269,0,0,0,2121.117859,0,0,4242.235718,0,0,0,50,0,0,2,2,7,0.234899,1.194444,0.001506,0.072906,0,0,2,1
