Id,Pop_2018,Elder_Rate,Dev_Ind_2004,Pop_Chg_2017-2018_per1000,Pop_Chg_2013-2018_per1000,Pop_Chg_2008-2018_per1000,Pop_Chg_2000-2018_per1000,Fac_Soc,Fac_Comm,Fac_Trans,Fac_Rec_Att,Fac_Env,Fac_Relig,Fac_Tot,Fac_Soc_per1000,Fac_Comm_per1000,Fac_Trans_per1000,Fac_Rec_Att_per1000,Fac_Env_per1000,Fac_Relig_per1000,Fac_Tot_per1000,District_Tot(ha),Urban(ha),Indust(ha),Mine(ha),Forest_tot(ha),Agri(ha),Wet_Wat(ha),Urban_Per,Indust _Per,Mine_Per,For_Tot_Per,Agri_Per,Wet_Wat_Per,Dist_to_Kirklareli,Dist_to_Edirne,Dist_to_Tekirdag,Dist_to_Luleburgaz,Degree,Weig_Deg,Eccentricity,Clos_cent,Betw_Cent,Brid_Cent,Clust_Coef,Triangles,Eigen_Cent,Modular_class,Cluter-ID
Babaeski,48391,16.9,0.74868,3.353346136,-6.509829322,-6.76901283,-5.736711964,16,22,7,3,27,20,95,0.330639995,0.454629993,0.144654998,0.061994999,0.557954992,0.413299994,1.963174971,65743.83123,2293.092285,596.2067661,0,3991.182358,59363.37492,240.5764512,3.449066479,0.896761454,0,6.003183289,89.28913497,0.361853807,35.988742,53.945889,81.939707,24.247007,6,30,4,0.473684,24.984615,0.010875,0.466667,7,0.661158,1,2
Cerkezkoy,166789,3.44,2.23899,54.57131173,77.63131673,12.46724237,38.98285186,90,410,72,71,51,33,727,0.539603931,2.458195684,0.431683145,0.425687545,0.305775561,0.197854775,4.35880064,12455.14535,1109.560783,1415.99107,72.9222787,2781.733159,7096.570436,80.19215039,8.83621442,11.27653473,0.580731493,22.15290143,56.51499132,0.638626605,94.481423,144.348548,83.876599,67.65951,4,20,5,0.397059,16.661722,0.013574,0.333333,2,0.375344,0,3
Corlu,262862,6.41,3.08189,9.268190303,30.62633057,10.49117116,21.33661296,51,105,38,66,48,38,346,0.194018154,0.399449141,0.144562546,0.251082317,0.182605321,0.144562546,1.316280025,37966.7246,1812.282612,1565.042761,401.0725328,403.1497332,33455.26063,0,4.81518677,4.158277052,1.065639068,1.071158134,88.88973898,0,101.825541,125.023471,64.296284,48.079195,5,28,4,0.364865,7.388095,0.003661,0.4,4,0.388366,0,3
Demirkoy,9093,15.8,0.19085,69.55861569,14.54938088,0.429823773,-12.59568418,4,36,1,5,7,12,65,0.439898823,3.959089409,0.109974706,0.549873529,0.769822941,1.31969647,7.148355878,89695.56555,147.9414377,0,0,83089.16,6232.966626,481.1529023,0.164468515,0,0,92.37135317,6.929274066,0.534904248,70.803498,133.186821,123.094018,72.468136,2,6,6,0.290323,0,0,1,1,0.136856,3,4
Edirne,180327,10,2.14,7.888983312,18.9225603,16.30341395,13.73435446,76,96,44,75,14,88,393,0.421456576,0.532366201,0.244001176,0.415911095,0.077636738,0.488002351,2.179374137,80269.65356,2441.033723,1266.939378,72.9222787,3346.142785,72730.45997,481.1529023,3.03843006,1.57699857,0.090768612,4.165047262,90.52984962,0.598905877,63.315423,0,135.885596,78.192896,6,24,4,0.45,37.487912,0.012498,0.466667,7,0.578762,1,2
Enez,10886,21.3,0.844,42.40785541,7.277611592,1.508659277,-5.083047238,4,3,0,5,0,9,21,0.367444424,0.275583318,0,0.45930553,0,0.826749954,1.929083226,46080.86553,406.8389538,37.26292288,109.383418,20439.69147,20651.39545,3929.415369,0.892699927,0.081763578,0.240012832,44.84946908,45.31399718,8.6220574,189.200643,170.626534,144.667527,172.316356,2,4,6,0.27,0,0,1,1,0.104101,2,0
Ergene,62458,8.96,0,25.57319168,19.03738091,0,0,31,94,30,32,75,32,294,0.496333536,1.505011368,0.480322777,0.512344295,1.200806942,0.512344295,4.707163214,45483.20285,1590.370456,2645.667525,36.46113935,1451.339039,38561.7875,280.6725264,3.5685496,5.93647584,0.081813255,3.256584232,86.52679058,0.629786493,96.111352,119.309283,58.582096,42.365006,5,20,5,0.402985,8.187912,0.004708,0.5,5,0.507017,3,1
Havsa,18947,19.8,0.19245,3.489482234,-13.28208312,-12.90085924,-13.19625502,4,4,3,2,7,20,40,0.211115216,0.211115216,0.158336412,0.105557608,0.369451628,1.055576081,2.111152161,59339.65832,1035.590064,409.8921517,36.46113935,846.6144396,56810.11148,160.3843008,1.746385485,0.691228826,0.061486882,1.427703123,95.8027288,0.270466881,45.539209,27.229831,109.730446,52.037746,6,28,4,0.428571,39.338095,0.014009,0.4,6,0.514048,1,2
Hayrabolu,32137,16.6,0.1528,3.178959231,-10.32119383,-15.22507524,-12.33978722,9,3,1,8,24,64,109,0.280051032,0.093350344,0.031116781,0.24893425,0.746802751,1.991474002,3.39172916,100052.0961,1738.311893,335.366306,0,3829.922465,93869.97931,160.3843008,1.739460559,0.335587914,0,3.832453253,93.93200799,0.160490282,66.051096,84.859687,51.554526,42.901979,6,15.5,3,0.509434,80.72674,0.036825,0.266667,4,0.622067,2,3
Ipsala,27498,16.7,-0.17208,3.497271324,-10.78128622,-10.86825065,-11.07448829,3,2,0,3,5,19,32,0.109098844,0.072732562,0,0.109098844,0.181831406,0.690959342,1.163720998,73396.82316,1590.370456,0,182.3056967,2418.898399,66272.20539,3648.742843,2.145886276,0,0.24598501,3.263818728,89.4210626,4.923247388,139.926045,121.351936,107.98496,129.872327,4,11,5,0.3375,7.913095,0.004831,0.666667,4,0.203387,2,0
