Source,Target,Type,Id,Label,Weight
87,88,Undirected,927,,3.01
78,77,Undirected,863,,3.06
64,91,Undirected,955,,3.35
93,90,Undirected,968,,2.75
87,86,Undirected,924,,3.02
93,89,Undirected,969,,3.15
85,84,Undirected,910,,2.83
81,82,Undirected,891,,2.79
92,91,Undirected,958,,3.45
83,82,Undirected,898,,2.84
69,84,Undirected,904,,2.83
92,77,Undirected,966,,3.26
94,89,Undirected,975,,2.9
81,80,Undirected,883,,3.2
81,86,Undirected,913,,2.92
92,82,Undirected,964,,3.14
67,90,Undirected,949,,2.6
76,84,Undirected,901,,3.08
85,80,Undirected,911,,3.3
94,88,Undirected,976,,2.81
81,77,Undirected,884,,2.92
78,91,Undirected,952,,3.25
93,84,Undirected,972,,2.88
70,82,Undirected,894,,2.74
78,86,Undirected,915,,3.07
92,89,Undirected,960,,3.34
78,84,Undirected,900,,2.88
78,88,Undirected,931,,3.06
92,86,Undirected,962,,3.27
92,84,Undirected,963,,3.08
92,80,Undirected,965,,3.55
74,86,Undirected,917,,3.22
65,91,Undirected,954,,3.45
92,88,Undirected,961,,3.26
78,80,Undirected,874,,3.35
74,90,Undirected,948,,2.9
64,88,Undirected,935,,3.17
79,77,Undirected,871,,2.92
93,80,Undirected,973,,3.35
67,82,Undirected,895,,2.79
74,84,Undirected,903,,3.02
79,86,Undirected,914,,2.92
75,88,Undirected,932,,2.81
81,90,Undirected,946,,2.6
87,84,Undirected,925,,2.83
93,86,Undirected,971,,3.07
64,80,Undirected,878,,3.45
85,88,Undirected,928,,3.01
93,77,Undirected,974,,3.06
78,89,Undirected,940,,3.15
64,84,Undirected,905,,2.98
75,86,Undirected,916,,2.82
81,84,Undirected,899,,2.73
75,89,Undirected,941,,2.9
75,84,Undirected,902,,2.63
92,90,Undirected,959,,2.95
81,88,Undirected,929,,2.92
72,82,Undirected,893,,2.79
66,88,Undirected,934,,2.96
71,89,Undirected,942,,3.04
67,86,Undirected,919,,2.92
69,86,Undirected,918,,3.02
94,86,Undirected,977,,2.82
74,80,Undirected,875,,3.5
81,89,Undirected,939,,3
93,91,Undirected,967,,3.25
74,88,Undirected,933,,3.21
73,82,Undirected,892,,2.74
68,80,Undirected,876,,3.29
93,88,Undirected,970,,3.06
66,80,Undirected,877,,3.25
66,91,Undirected,953,,3.15
79,88,Undirected,930,,2.92
78,90,Undirected,947,,2.75
