Source,Target,Type,Id,Label,Weight
2.88 Changes in Rural development Policies,Improvement of Rural Development Policies,Undirected,912,,2.88
2.88 Changes in Rural development Policies,Improvement of Regional Policies,Undirected,913,,2.88
2.88 Changes in Rural development Policies,Ecological Planning Strategies,Undirected,914,,2.88
2.63 Deficiencies in national - regional policies,Improvement of Rural Development Policies,Undirected,915,,2.63
2.63 Deficiencies in national - regional policies,Improvement of Regional Policies,Undirected,916,,2.63
3.75 Sparse or insufficient regional rail /public transport network,Empowerment of the regional transportation connections,Undirected,917,,3.75
3.13  Inadequate regional investments,Improvement of Rural Development Policies,Undirected,918,,3.13
3.13  Inadequate regional investments,Improvement of Regional Policies,Undirected,919,,3.13
3.13  Inadequate regional investments,Empowerment of the regional transportation connections,Undirected,920,,3.13
3.13  Inadequate regional investments,Supporting regional investment networks and evenly developed regions,Undirected,921,,3.13
1.29 Destruction of natural resources in the region,Improvement of Rural Development Policies,Undirected,922,,1.29
1.29 Destruction of natural resources in the region,Improvement of Regional Policies,Undirected,923,,1.29
1.29 Destruction of natural resources in the region,Ecological Planning Strategies,Undirected,924,,1.29
1.29 Destruction of natural resources in the region,Understanding local needs more deliberatlly,Undirected,925,,1.29
2.62 Inadequate public services or difficult access to the district,Improvement of Regional Policies,Undirected,926,,2.62
2.62 Inadequate public services or difficult access to the district,Empowerment of the regional transportation connections,Undirected,927,,2.62
2.62 Inadequate public services or difficult access to the district,Using new digital solutions and providing distributed services,Undirected,928,,2.62
2.62 Inadequate public services or difficult access to the district,Understanding local needs more deliberatlly,Undirected,929,,2.62
2.62 Inadequate public services or difficult access to the district,Improvement for transportation options and hubs,Undirected,930,,2.62
2.62 Inadequate public services or difficult access to the district,Improving accessibility health care services by new digital tools,Undirected,931,,2.62
2.62 Inadequate public services or difficult access to the district,Improving education service opportunities and accessibility to them by new tools,Undirected,932,,2.62
2.62 Inadequate public services or difficult access to the district,3.54-Increasing and improving public transportation facilities,Undirected,933,,2.62
"2.54 Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)",Improvement of Regional Policies,Undirected,934,,2.54
"2.54 Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)",Using new digital solutions and providing distributed services,Undirected,935,,2.54
"2.54 Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)",3.15 Improving health care facilities,Undirected,936,,2.54
"2.54 Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)",Understanding local needs more deliberatlly,Undirected,937,,2.54
"2.54 Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)",Improving accessibility health care services by new digital tools,Undirected,938,,2.54
Surplus deaths (births and immigration cannot compensate for deaths),Improvement of Rural Development Policies,Undirected,939,,3
Surplus deaths (births and immigration cannot compensate for deaths),Making rural areas attractive- for new comers,Undirected,940,,3
Surplus deaths (births and immigration cannot compensate for deaths),Understanding local needs more deliberatlly,Undirected,941,,3
Surplus deaths (births and immigration cannot compensate for deaths),Developing  economic networks and circular economy in the district,Undirected,942,,3
Surplus deaths (births and immigration cannot compensate for deaths),Developing solutions for aging related problem,Undirected,943,,3
Surplus deaths (births and immigration cannot compensate for deaths),Improving attractiveness of villages for young people,Undirected,944,,3
Surplus deaths (births and immigration cannot compensate for deaths),Creating innovative job opp.  in rural areas,Undirected,945,,3
Kirchturmdenken,Using new digital solutions and providing distributed services,Undirected,946,,3
Kirchturmdenken,Understanding local needs more deliberatlly,Undirected,947,,3
