Id,Label,att,polx,poly,scale,dimen,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,modularity_class,Clustering Coefficient,Cluter-ID
2.88 Changes in Rural development Policies,2.88 Changes in Rural development Policies,Factors,500,2200,Macro,social,4,10.9,4,0.428571,0.511905,20,0.095238,0.171429,0.016327,0,0.5,0
2.63 Deficiencies in national - regional policies,2.63 Deficiencies in national - regional policies,Factors,500,2300,Macro,social,8,22.905,3,0.567568,0.666667,40.870238,0.19462,0.066822,0.013005,0,0.25,0
3.75 Sparse or insufficient regional rail /public transport network,3.75 Sparse or insufficient regional rail /public transport network,Factors,500,2400,Macro,economic,5,16.99,3,0.5,0.579365,2.528571,0.012041,0.28078,0.003381,0,0.5,0
3.13  Inadequate regional investments,3.13  Inadequate regional investments,Factors,500,2500,Macro,economic,6,19.06,4,0.525,0.615079,10.694048,0.050924,0.170455,0.00868,0,0.533333,0
1.29 Destruction of natural resources in the region,1.29 Destruction of natural resources in the region,Factors,500,2600,Macro,ecological,1,2.085,5,0.304348,0.346825,0,0,4,0,0,0,2
2.62 Inadequate public services or difficult access to the district,2.62 Inadequate public services or difficult access to the district,Factors,500,2700,meso,social,9,24.975,3,0.617647,0.706349,42.87619,0.204172,0.067912,0.013866,1,0.25,5
"2.54 Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)","2.54 Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)",Factors,500,2800,meso,social,3,8.24,3,0.477273,0.531746,9.611905,0.045771,0.615385,0.028167,3,0,4
Surplus deaths (births and immigration cannot compensate for deaths),Surplus deaths (births and immigration cannot compensate for deaths),Factors,500,2900,meso,social,3,9.58,4,0.466667,0.527778,9.329762,0.044427,0.685714,0.030465,2,0.333333,5
Kirchturmdenken,Kirchturmdenken,Factors,500,3000,meso,social,2,5.65,4,0.411765,0.464286,3.528571,0.016803,1.333333,0.022404,3,0,1
3.62 Lack of adequate and varied transport connections,3.62 Lack of adequate and varied transport connections,Factors,500,3100,meso,economic,7,23.6,4,0.512195,0.623016,9.528571,0.045374,0.124224,0.005637,1,0.380952,5
3.23 Lack of sufficient and diverse enterprises and industrial zones,3.23 Lack of sufficient and diverse enterprises and industrial zones,Factors,500,3200,meso,economic,6,19.62,4,0.525,0.615079,10.694048,0.050924,0.170455,0.00868,0,0.533333,0
3.31 Aging,3.31 Aging,Factors,500,3300,micro,social,4,12.225,4,0.42,0.503968,10.958333,0.052183,0.176471,0.009209,3,0.166667,4
2.67  Weakness of social relations,2.67  Weakness of social relations,Factors,500,3400,micro,social,4,11.305,4,0.456522,0.535714,20.342857,0.096871,0.183673,0.017793,3,0.166667,1
2.92 Difficulty of access to the health care services in villages,2.92 Difficulty of access to the health care services in villages,Factors,500,3500,micro,social,6,17.73,4,0.512195,0.607143,9.807143,0.046701,0.161538,0.007544,1,0.4,5
2.55 Difficulty of access to education services  in villages,2.55 Difficulty of access to education services  in villages,Factors,500,3600,micro,social,5,14.075,4,0.477273,0.56746,1.82619,0.008696,0.286364,0.00249,1,0.6,5
Insufficient attractiveness / perspective for young people,Insufficient attractiveness / perspective for young people,Factors,500,3700,micro,social,9,26.995,3,0.583333,0.690476,35.434524,0.168736,0.055021,0.009284,2,0.25,5
Digitization and the associated decrease in real social contacts,Digitization and the associated decrease in real social contacts,Factors,500,3800,micro,social,2,5.99,5,0.33871,0.402381,0,0,1,0,3,1,1
3.85 Lack of sufficient and varied job opportunities,3.85 Lack of sufficient and varied job opportunities,Factors,500,3900,micro,economic,8,28.125,3,0.538462,0.650794,21.280952,0.101338,0.083113,0.008423,2,0.285714,5
3.54  Insufficient or infrequent public transport facilities,3.54  Insufficient or infrequent public transport facilities,Factors,500,4000,micro,economic,6,19.71,4,0.488372,0.59127,1.827381,0.008702,0.182688,0.00159,1,0.666667,5
2.69 Insufficient communication and internet access,2.69 Insufficient communication and internet access,Factors,500,4100,micro,economic,4,11.615,4,0.466667,0.543651,4.033333,0.019206,0.295082,0.005667,2,0.5,5
2.62 Bad road infrastructure,2.62 Bad road infrastructure,Factors,500,4200,micro,economic,6,17.41,4,0.488372,0.59127,1.827381,0.008702,0.182688,0.00159,1,0.666667,5
Lower wages,Lower wages,Factors,500,4300,micro,economic,2,5.845,4,0.381818,0.440476,0,0,1.384615,0,2,1,3
