Source,Target,Type,Id,Label,Weight
75,76,Undirected,978,,3.64
93,88,Undirected,1038,,3.015
75,96,Undirected,1055,,3.7
95,81,Undirected,1050,,3.45
92,72,Undirected,1032,,3.565
69,71,Undirected,946,,3.14
101,97,Undirected,1074,,1
92,81,Undirected,1030,,3.65
87,72,Undirected,1017,,3.865
75,86,Undirected,1012,,3.64
85,72,Undirected,1006,,3.765
79,94,Undirected,1043,,3.255
90,72,Undirected,1027,,3.815
77,71,Undirected,986,,2.94
73,86,Undirected,1013,,3.19
78,94,Undirected,1044,,3.105
101,94,Undirected,1075,,3.105
83,86,Undirected,1009,,3.19
89,72,Undirected,1024,,3.765
75,81,Undirected,996,,3.95
92,94,Undirected,1040,,3.305
77,76,Undirected,984,,3.34
87,81,Undirected,1016,,3.95
102,98,Undirected,1078,,3.275
77,98,Undirected,1063,,3.225
89,81,Undirected,1022,,3.85
75,99,Undirected,1070,,3.605
102,71,Undirected,1082,,2.99
92,98,Undirected,1061,,3.225
75,98,Undirected,1064,,3.525
87,71,Undirected,1018,,3.24
74,94,Undirected,1047,,3.005
84,94,Undirected,1041,,3.205
75,71,Undirected,968,,3.24
93,76,Undirected,1039,,3.04
100,72,Undirected,1073,,3.815
75,94,Undirected,1046,,3.605
85,99,Undirected,1069,,3.505
70,98,Undirected,1065,,3.025
77,72,Undirected,985,,3.565
80,86,Undirected,1010,,3.09
77,94,Undirected,1045,,3.305
87,99,Undirected,1068,,3.605
102,97,Undirected,1079,,3.285
75,88,Undirected,1020,,3.615
85,96,Undirected,1053,,3.6
89,76,Undirected,1023,,3.54
77,86,Undirected,1011,,3.34
77,81,Undirected,995,,3.65
102,94,Undirected,1080,,3.355
102,86,Undirected,1081,,3.39
75,97,Undirected,1058,,3.535
75,72,Undirected,967,,3.865
92,86,Undirected,1029,,3.34
77,96,Undirected,1054,,3.4
91,98,Undirected,1062,,3.025
89,71,Undirected,1025,,3.14
101,71,Undirected,1076,,2.74
92,71,Undirected,1033,,2.94
73,71,Undirected,964,,3.12
69,96,Undirected,1056,,3.6
82,94,Undirected,1042,,3.255
100,76,Undirected,1072,,3.59
85,81,Undirected,1005,,3.85
92,96,Undirected,1052,,3.4
92,76,Undirected,1031,,3.34
92,97,Undirected,1057,,3.235
102,99,Undirected,1077,,3.355
89,99,Undirected,1067,,3.505
95,72,Undirected,1051,,3.365
