questionId	question_text	node_label	node_type	avg_score	std_score	weighted_degree
1	Deficiencies in national - regional development policies	Deficiencies in national - regional development policies	Factors	3.05	1.0	16.02
2	Changes in rural development policies	Changes in rural development policies	Factors	3.65	0.67	17.2
3	Inadequate regional investments	Inadequate regional investments	Factors	3.3	0.86	6.46
4	Inadequate agricultural support	Inadequate agricultural support	Factors	3.55	0.69	20.76
5	Lack of Agricultural product planning system	Lack of Agricultural product planning system	Factors	3.6	0.68	14.05
6	Lack of regulation of purchase and sale prices of agricultural products	Lack of regulation of purchase and sale prices of agricultural products	Factors	3.6	0.6	10.67
7	Other_Closure of factories	Closure of factories	Factors	3.0	0.0	9.58
8	Environmental pollution in the region	Environmental pollution in the region	Factors	2.75	1.21	2.92
9	Destruction of natural resources in the region	Destruction of natural resources in the region	Factors	2.95	1.05	3.03
10	Migration to city or district centre	Migration to city or district centre	Factors	3.15	0.88	21.93
11	Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)	Insufficient Health Services (Hospital, Elderly Nursing Home, etc.)	Factors	2.65	1.53	5.86
12	Inadequate educational services (schools, courses, kindergartens, etc.)	Inadequate educational services (schools, courses, kindergartens, etc.)	Factors	2.65	1.31	2.88
13	Other_Lack of agricultural production profit	Lack of agricultural production profit	Factors	3.0	0.0	12.84
14	Environmental pollution in the district	Environmental pollution in the district	Factors	2.8	1.11	2.95
15	Dry Seasons	Dry Seasons	Factors	1.75	0.5	5.29
16	Migration	Migration	Factors	3.15	0.88	22.27
17	Aging	Aging	Factors	2.9	0.85	15.03
18	Difficulty of access to the health care services in villages	Difficulty of access to the health care services in villages	Factors	2.75	1.25	3.04
19	Difficulty of access to education services in villages	Difficulty of access to education services in villages	Factors	2.8	1.06	2.95
20	Lack of sufficient and varied job opportunities	Lack of sufficient and varied job opportunities	Factors	2.8	1.36	11.84
21	Expensiveness	Expensiveness	Factors	3.3	0.92	16.72
22	Inadequate irrigation infrastructure	Inadequate irrigation infrastructure	Factors	2.89	0.99	6.66
23	Inactive cooperatives and lack of support	Inactive cooperatives and lack of support	Factors	3.25	0.85	13.47
24	Other_Lack of quality of life and living conditions	Lack of quality of life and living conditions	Factors	3.0	0.0	5.77
25	Other_Accessibility	Accessibility	Factors	3.0	0.0	5.73
26	Diseases and pests in agricultural and animal products	Diseases and pests in agricultural and animal products	Factors	2.55	1.0	6.09
27	Pollutant effect of industrial plants or mining sites	Pollutant effect of industrial plants or mining sites	Factors	2.95	1.32	3.03
28	Depletion or destruction of local natural resources	Depletion or destruction of local natural resources	Factors	2.65	1.27	5.9
29	Other_Usage of foreign seeds	Usage of foreign seeds	Factors	3.0	0.0	9.66
30	Other_Misuse of pasture areas	Misuse of pasture areas	Factors	3.0	0.0	3.34
31	Improving education services	Improving education services	Solutions	3.1	0.79	14.95
32	Improving health care facilities	Improving health care facilities	Solutions	3.32	0.82	15.59
33	Socializing and shopping facilities for young population	Socializing and shopping facilities for young population	Solutions	2.3	1.22	15.89
34	Reducing and eliminating environmental problems	Reducing and eliminating environmental problems	Solutions	3.1	1.17	30.51
35	Supporting agricultural production	Supporting agricultural production	Solutions	3.85	0.49	38.78
36	Supporting commercial enterprises, SMEs	Supporting commercial enterprises, SMEs	Solutions	3.16	1.12	28.5
37	Supporting cooperatives	Supporting cooperatives	Solutions	3.68	0.58	54.16
38	Supporting sharing economy	Supporting sharing economy	Solutions	3.25	0.85	12.76
39	Establishment of common production areas in villages such as cold stores, small production facilities	Establishment of common production areas in villages such as cold stores, small production facilities	Solutions	3.16	1.01	35.19
40	Providing consultancy services of veterinary, agricultural or forest engineering to villages	Providing consultancy services of veterinary, agricultural or forest engineering to villages	Solutions	3.4	0.88	15.24
41	Other_Removal of taxes	Removal of taxes	Solutions	3.0	0.0	22.37
