Source,Target,Type,Id,Label,Weight,Color
Demirkapi,Karahalil,Undirected,335,,1,"#00115c"
Dugunculu,Alpullu,Undirected,336,,1,"#00115c"
Erikleryurdu,Cavuskoy,Undirected,337,,1,"#00115c"
Ertugrulkoy,Agayeri,Undirected,338,,1,"#00115c"
Ertugrulkoy,Cengerli,Undirected,339,,1,"#00115c"
Hazinedar,Demirkapi,Undirected,340,,5,"#00115c"
Kadikoy,Babaeski,Undirected,341,,1,"#00115c"
Karabayir,Erikleryurdu,Undirected,342,,1,"#00115c"
Karacaoglan,Demirkapi,Undirected,343,,4,"#00115c"
Karamesutlu,Babaeski,Undirected,344,,4,"#00115c"
Karamesutlu,Karacaoglan,Undirected,345,,3,"#00115c"
Katranca,Buyukmandira,Undirected,346,,1,"#00115c"
Katranca,Cigdemli,Undirected,347,,1,"#00115c"
Kuleli,Agayeri,Undirected,348,,1,"#00115c"
Kumrular,Cavuskoy,Undirected,349,,1,"#00115c"
Kumrular,Erikleryurdu,Undirected,350,,1,"#00115c"
Kuzucardagi,Karahalil,Undirected,351,,1,"#00115c"
Kuzucardagi,Demirkapi,Undirected,352,,4,"#00115c"
Kuzucardagi,Karacaoglan,Undirected,353,,1,"#00115c"
Minnetler,Babaeski,Undirected,354,,3,"#00115c"
Minnetler,Cigdemli,Undirected,355,,1,"#00115c"
Minnetler,Ertugrulkoy,Undirected,356,,1,"#00115c"
Musellim,Kumrular,Undirected,357,,1,"#00115c"
Mutlu,Demirkapi,Undirected,358,,1,"#00115c"
Mutlu,Kadikoy,Undirected,359,,1,"#00115c"
Mutlu,Kuleli,Undirected,360,,2,"#00115c"
Nacak,Karabayir,Undirected,361,,1,"#00115c"
Nadirli,Babaeski,Undirected,362,,1,"#00115c"
Nadirli,Cigdemli,Undirected,363,,1,"#00115c"
Nadirli,Katranca,Undirected,364,,1,"#00115c"
Oruclu,Kadikoy,Undirected,365,,1,"#00115c"
Oruclu,Karacaoglan,Undirected,366,,1,"#00115c"
Oruclu,Karamesutlu,Undirected,367,,1,"#00115c"
Osmaniye,Babaeski,Undirected,368,,1,"#00115c"
Osmaniye,Karamesutlu,Undirected,369,,1,"#00115c"
Pancarkoy,Babaeski,Undirected,370,,4,"#00115c"
Pancarkoy,Alpullu,Undirected,371,,3,"#00115c"
Pancarkoy,Dugunculu,Undirected,372,,1,"#00115c"
Pancarkoy,Musellim,Undirected,373,,1,"#00115c"
Pancarkoy,Nadirli,Undirected,374,,1,"#00115c"
Sinanli,Alpullu,Undirected,375,,5,"#00115c"
Sinanli,Buyukmandira,Undirected,376,,1,"#00115c"
Sofuhalil,Babaeski,Undirected,377,,1,"#00115c"
Sofuhalil,Cavuskoy,Undirected,378,,1,"#00115c"
Sofuhalil,Musellim,Undirected,379,,1,"#00115c"
Sofuhalil,Osmaniye,Undirected,380,,1,"#00115c"
Sofuhalil,Pancarkoy,Undirected,381,,2,"#00115c"
Tasagil,Karacaoglan,Undirected,382,,3,"#00115c"
Tasagil,Karamesutlu,Undirected,383,,4,"#00115c"
Tasagil,Nacak,Undirected,384,,3,"#00115c"
Tasagil,Oruclu,Undirected,385,,3,"#00115c"
Taskopru,Babaeski,Undirected,386,,4,"#00115c"
Taskopru,Ertugrulkoy,Undirected,387,,1,"#00115c"
Taskopru,Kuleli,Undirected,388,,4,"#00115c"
Taskopru,Minnetler,Undirected,389,,2.5,"#00115c"
Taskopru,Mutlu,Undirected,390,,3,"#00115c"
Terzili,Demirkapi,Undirected,391,,1,"#00115c"
Terzili,Kadikoy,Undirected,392,,1,"#00115c"
Terzili,Karacaoglan,Undirected,393,,2,"#00115c"
Terzili,Kuzucardagi,Undirected,394,,1,"#00115c"
Terzili,Oruclu,Undirected,395,,1,"#00115c"
Yenikoy,Karabayir,Undirected,396,,1,"#00115c"
Yenikoy,Tasagil,Undirected,397,,3,"#00115c"
Yenimahalle,Karahalil,Undirected,398,,1,"#00115c"
Yenimahalle,Demirkapi,Undirected,399,,1,"#00115c"
Yenimahalle,Karacaoglan,Undirected,400,,1,"#00115c"
Yenimahalle,Nacak,Undirected,401,,1,"#00115c"
