Id,Label,pop_2018,elder rate(2000),pop_growth_rate(2018-2017),pop_growth_rate(2018-2008),pop_growth_rate(2000-2018),pop_growth_rate(1990-2018),dist_to_center(km),point_x,point_y,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Clustering Coefficient,Cluter-ID,clustering,triangles,eigencentrality,Size,Color
Babaeski,Babaeski,29569,6.91,6.957081,8.107623,8.096501,9.24849,0,27.090724,41.42994,8,19,4,4,0.443038,0.540476,255.561142,0.429515,0.067568,0.029021,0.178571,5,0.178571,5,0.919324,61.816978,#ffbaaa
Demirkapi,Demirkapi,228,13.39,17.699577,-28.330773,-21.54253,-21.903114,16.006941,27.027092,41.553658,7,17,0,6,0.324074,0.453333,83.534066,0.140393,0.058881,0.008267,0.285714,1,0.285714,6,0.810028,35.948246,#f2cb89
Tasagil,Tasagil,552,10.59,-1.809955,-21.385899,-20.822593,-17.538088,11.398537,27.123807,41.521683,5,16,3,5,0.336538,0.43,59.087179,0.099306,0.145329,0.014432,0.3,4,0.3,3,0.616665,40.878624,#b8dd9d
Karacaoglan,Karacaoglan,220,17.06,-9.049836,-10.876422,-15.91917,-17.088937,13.33648,27.076494,41.534084,7,15,3,5,0.35,0.468095,58.448718,0.098233,0.09901,0.009726,0.380952,1,0.380952,8,1,48.339622,#b8dd9d
Taskopru,Taskopru,274,14.29,615.915833,61.891787,22.728968,1.192796,7.66992,27.01676,41.464371,5,14.5,4,5,0.376344,0.458095,86.105556,0.144715,0.165517,0.023953,0.3,2,0.3,3,0.502329,100,#ffbaaa
Karamesutlu,Karamesutlu,376,19.93,0,-24.386781,-22.328484,-20.471461,7.690755,27.109758,41.489582,5,13,3,4,0.393258,0.471429,111.776282,0.187859,0.199762,0.037527,0.4,1,0.4,4,0.781202,38.748207,#b8dd9d
Pancarkoy,Pancarkoy,754,16.64,-77.795745,-36.909892,-27.547783,-23.916573,7.890476,27.162994,41.402325,6,12,1,5,0.368421,0.468571,117.178053,0.196938,0.095694,0.018846,0.266667,5,0.266667,4,0.55347,29.857664,#a1ddda
Alpullu,Alpullu,2321,9.99,15.194562,-19.507113,-20.469647,-17.3147,11.629157,27.141938,41.371076,3,9,1,6,0.282258,0.355238,32.935714,0.055354,0.285714,0.015815,0.333333,5,0.333333,1,0.183474,42.212433,#a1ddda
Minnetler,Minnetler,305,16.4,-35.430437,-27.81095,-28.123605,-29.670306,9.286077,27.012751,41.436695,4,7.5,4,5,0.360825,0.436667,51.165476,0.085992,0.275229,0.023668,0.333333,2,0.333333,2,0.420079,36.317284,#ffbaaa
Kuleli,Kuleli,646,13.89,-12.307848,-35.475574,-29.266471,-23.717548,15.074809,26.942682,41.492724,3,7,4,5,0.309735,0.374762,17.866667,0.030028,0.350877,0.010536,0.333333,2,0.333333,1,0.238843,30.875933,#ffbaaa
