Id,Label,lon,lat,pop_2018,elder (2011),pop_grw_rate(2017-18)1000,pop_grw_rate(2011-18)1000,pop_grw_rate(2001-2018)1000,pop_grw_rate(1995-2018)1000,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,betweennesscentrality2,bridgingcentrality,Clustering Coefficient,Cluter-ID,componentnumber,clustering,triangles,eigencentrality,Size,Color
Dannenberg (Elbe),Dannenberg (Elbe),11.085728,53.089143,"<[8.0, 200.0]>",24.2,-13.445784,0.19,-0.3,-0.16,8,28.5,0,3,0.541667,0.201773,0.018423,0.392857,1,0,0.392857,11,0.878321,85,#7ce2e4
Luchow (Wendland),Luchow (Wendland),11.154317,52.96732,"<[9.0, 388.0]>",24.7,14.160288,-0.12,-0.23,-0.2,10,24,2,3,0.577778,0.318158,0.016798,0.266667,2,0,0.266667,12,1,92.5,#a8e08d
Karwitz,Karwitz,11.003482,53.089552,<[733.0]>,26,9.595687,-0.06,-0.51,-0.23,7,16.5,1,4,0.440678,0.049783,0.005962,0.52381,1,0,0.52381,11,0.719631,85,#e5c6f7
Hitzacker (Elbe),Hitzacker (Elbe),11.037637,53.147196,"<[4.0, 951.0]>",30.8,10.15031,-0.11,-0.16,-0.07,5,16,0,4,0.4,0.040483,0.006222,0.5,1,0,0.5,5,0.405979,40,#7ce2e4
Jameln,Jameln,11.061941,53.040178,"<[1.0, 74.0]>",23.6,36.022852,0.03,-0.32,-0.16,8,15,1,4,0.509804,0.140572,0.0144,0.464286,2,0,0.464286,13,0.920444,100,#e5c6f7
Trebel,Trebel,11.315022,52.994671,<[972.0]>,25.8,-31.394983,0.51,-0.38,-0.34,7,13,4,4,0.433333,0.041678,0.004461,0.47619,0,0,0.47619,10,0.628564,77.5,#ffc66f
Kusten,Kusten,11.06255,52.976477,"<[1.0, 368.0]>",21,-15.953928,-0.06,-0.2,-0.03,7,12.5,1,4,0.481481,0.072092,0.009078,0.52381,2,0,0.52381,11,0.748729,85,#e5c6f7
Woltersdorf,Woltersdorf,11.219002,52.953961,<[896.0]>,17.8,6.71895,-0.91,-0.9,-0.32,5,12,2,4,0.433333,0.048004,0.00967,0.4,3,0,0.4,4,0.432228,32.5,#a8e08d
Gorleben,Gorleben,11.353061,53.046799,<[597.0]>,30.7,-5.012542,-0.88,-0.37,-0.34,8,11.5,4,4,0.509804,0.205274,0.018629,0.464286,0,0,0.464286,13,0.826435,100,#ffc66f
Gohrde,Gohrde,10.94202,53.124856,<[581.0]>,18.6,-20.443642,-1.16,-1.26,-0.98,5,11,0,4,0.4,0.044511,0.007623,0.5,1,0,0.5,5,0.433979,40,#7ce2e4
Gartow,Gartow,11.456021,53.026537,"<[1.0, 425.0]>",37.5,9.873141,0.7,-0.12,0.03,5,11,4,5,0.376812,0.076923,0.009133,0.6,0,0,0.6,6,0.391702,47.5,#ffc66f
Zernien,Zernien,10.882451,53.070436,"<[1.0, 615.0]>",31,-4.324999,0.51,-0.05,0.1,5,10.5,1,5,0.38806,0.014726,0.003633,0.7,2,0,0.7,7,0.541078,55,#e5c6f7
Clenze,Clenze,10.954692,52.934736,"<[2.0, 299.0]>",24.3,-5.206086,-0.39,-0.13,-0.22,6,10,3,5,0.38806,0.091468,0.010155,0.4,2,0,0.4,6,0.478874,47.5,#ffafaf
Lubbow,Lubbow,11.180821,52.910872,<[805.0]>,17.1,-4.95664,-0.54,-0.3,0.06,4,10,2,4,0.40625,0.02959,0.007653,0.5,3,0,0.5,3,0.316445,25,#a8e08d
Gusborn,Gusborn,11.198136,53.105607,"<[1.0, 205.0]>",28.5,9.170552,-0.29,-0.36,-0.28,7,9.5,0,3,0.52,0.097674,0.011616,0.47619,0,0,0.47619,10,0.821218,77.5,#7ce2e4
Waddeweitz,Waddeweitz,10.95459,52.997571,<[900.0]>,24.6,12.297528,-0.16,-0.58,-0.24,5,9.5,1,5,0.393939,0.012321,0.00317,0.8,2,0,0.8,8,0.547913,62.5,#e5c6f7
Prezelle,Prezelle,11.401471,52.962043,<[420.0]>,21.2,-21.202208,-2.09,-1.74,-1.3,6,9,4,5,0.38806,0.03226,0.004297,0.533333,0,0,0.533333,8,0.473698,62.5,#ffc66f
Luckau (Wendland),Luckau (Wendland),11.048342,52.941456,<[542.0]>,17.1,-20.092,-2.55,-0.86,-0.35,5,8.5,3,4,0.440678,0.079438,0.014763,0.4,2,0,0.4,4,0.438595,32.5,#ffafaf
Hohbeck,Hohbeck,11.432505,53.053991,<[638.0]>,19.5,-6.25002,-0.35,-0.97,-0.84,4,6,4,5,0.371429,0,0,1,0,0,1,6,0.381348,47.5,#ffc66f
