Source,Target,Type,Id,Label,Weight,Color
Ahmetbey,Emirali,Undirected,0,,1,"#000000"
Ahmetbey,Evrensekiz,Undirected,1,,1,"#000000"
Ahmetbey,Akcakoy,Undirected,2,,2,"#000000"
Ahmetbey,Karaagac,Undirected,3,,1,"#000000"
Emirali,Sakizkoy,Undirected,4,,1,"#000000"
Evrensekiz,Akcakoy,Undirected,5,,1,"#000000"
Evrensekiz,Buyukkaristiran,Undirected,6,,2.5,"#000000"
Evrensekiz,Karamusul,Undirected,7,,2.5,"#000000"
Evrensekiz,Yenibedir,Undirected,8,,2.5,"#000000"
Evrensekiz,Luleburgaz,Undirected,9,,1,"#000000"
Evrensekiz,Sakizkoy,Undirected,10,,1,"#000000"
Tatarkoy,Turgutbey,Undirected,11,,2.5,"#000000"
Tatarkoy,Hamitabat,Undirected,12,,1,"#000000"
Tatarkoy,Ayvali,Undirected,13,,1,"#000000"
Tatarkoy,Eskitasli,Undirected,14,,1,"#000000"
Tatarkoy,Celaliye,Undirected,15,,1,"#000000"
Tatarkoy,Yenitasli,Undirected,16,,1,"#000000"
Tatarkoy,Kirikkoy,Undirected,17,,2.5,"#000000"
Tatarkoy,Luleburgaz,Undirected,18,,1,"#000000"
Turgutbey,Eskitasli,Undirected,19,,3,"#000000"
Turgutbey,Luleburgaz,Undirected,20,,7,"#000000"
Turgutbey,Sakizkoy,Undirected,21,,4,"#000000"
Durak,Kayabeyli,Undirected,22,,5,"#000000"
Durak,Musellim,Undirected,23,,1,"#000000"
Durak,Luleburgaz,Undirected,24,,1,"#000000"
Durak,Alacaoglu,Undirected,25,,1,"#000000"
Durak,Duguncubasi,Undirected,26,,1,"#000000"
Ovacik,Eskibedir,Undirected,27,,1,"#000000"
Ovacik,Kayabeyli,Undirected,28,,1,"#000000"
Ovacik,Musellim,Undirected,29,,1,"#000000"
Ovacik,Alacaoglu,Undirected,30,,1,"#000000"
Hamzabey,Eskitasli,Undirected,31,,3,"#000000"
Hamzabey,Celaliye,Undirected,32,,1,"#000000"
Hamzabey,Ceylankoy,Undirected,33,,3,"#000000"
Hamitabat,Kirikkoy,Undirected,34,,1,"#000000"
Hamitabat,Cesmekolu,Undirected,35,,1,"#000000"
Ayvali,Saricaali,Undirected,36,,2,"#000000"
Ayvali,Kirikkoy,Undirected,37,,1,"#000000"
Ayvali,Luleburgaz,Undirected,38,,1,"#000000"
Eskitasli,Celaliye,Undirected,39,,1,"#000000"
Eskitasli,Yenitasli,Undirected,40,,1,"#000000"
Eskitasli,Karaagac,Undirected,41,,1,"#000000"
Umurca,Luleburgaz,Undirected,42,,1,"#000000"
Umurca,Sakizkoy,Undirected,43,,1,"#000000"
Akcakoy,Buyukkaristiran,Undirected,44,,2,"#000000"
Akcakoy,Karamusul,Undirected,45,,1.5,"#000000"
Akcakoy,Yenibedir,Undirected,46,,2.5,"#000000"
Akcakoy,Ciftlikkoy,Undirected,47,,1.5,"#000000"
Akcakoy,Sakizkoy,Undirected,48,,4,"#000000"
Buyukkaristiran,Karamusul,Undirected,49,,4,"#000000"
Buyukkaristiran,Yenibedir,Undirected,50,,4,"#000000"
Buyukkaristiran,Ciftlikkoy,Undirected,51,,1,"#000000"
Eskibedir,Yenibedir,Undirected,52,,1,"#000000"
Eskibedir,Luleburgaz,Undirected,53,,1,"#000000"
Kayabeyli,Karamusul,Undirected,54,,1,"#000000"
Kayabeyli,Seyitler,Undirected,55,,6,"#000000"
Kayabeyli,Cengelli,Undirected,56,,1,"#000000"
Karamusul,Yenibedir,Undirected,57,,2.5,"#000000"
Karamusul,Ciftlikkoy,Undirected,58,,1,"#000000"
Musellim,Alacaoglu,Undirected,59,,1,"#000000"
Oklali,Saricaali,Undirected,60,,1,"#000000"
Oklali,Duguncubasi,Undirected,61,,1,"#000000"
Saricaali,Kirikkoy,Undirected,62,,1,"#000000"
Saricaali,Luleburgaz,Undirected,63,,4,"#000000"
Yenibedir,Luleburgaz,Undirected,64,,4,"#000000"
Yenibedir,Ciftlikkoy,Undirected,65,,2.5,"#000000"
Celaliye,Yenitasli,Undirected,66,,1,"#000000"
Celaliye,Ceylankoy,Undirected,67,,1,"#000000"
Celaliye,Cesmekolu,Undirected,68,,1,"#000000"
Seyitler,Ciftlikkoy,Undirected,69,,1,"#000000"
Seyitler,Davutlu,Undirected,70,,1,"#000000"
Ceylankoy,Karaagac,Undirected,71,,1,"#000000"
Ertugrul,Karaagac,Undirected,72,,1,"#000000"
Davutlu,Cengelli,Undirected,73,,1,"#000000"
Cengelli,Alacaoglu,Undirected,74,,1,"#000000"
