Source,Target,Type,Id,Label,Weight,Color
Celle,Uelzen,Undirected,108,,8,"#0b558b"
Osterholz,Cuxhaven,Undirected,109,,9,"#064775"
Luneburg,Uelzen,Undirected,110,,8,"#0b558b"
Rotenburg(Wumme),Cuxhaven,Undirected,111,,3,"#09090a"
Rotenburg(Wumme),Celle,Undirected,112,,3,"#09090a"
Rotenburg(Wumme),Osterholz,Undirected,113,,4,"#0b2437"
Stade,Cuxhaven,Undirected,114,,8,"#0b558b"
Stade,Osterholz,Undirected,115,,3,"#09090a"
Stade,Rotenburg(Wumme),Undirected,116,,3,"#09090a"
Luchow-Dannenberg,Uelzen,Undirected,117,,3,"#09090a"
Luchow-Dannenberg,Luneburg,Undirected,118,,8,"#0b558b"
Verden,Celle,Undirected,119,,3.5,"#0a1620"
Verden,Osterholz,Undirected,120,,9,"#064775"
Verden,Rotenburg(Wumme),Undirected,121,,3,"#09090a"
Luchow,Uelzen,Undirected,122,,3,"#09090a"
Luchow,Luchow-Dannenberg,Undirected,123,,3,"#09090a"
Winsen(Harburg),Osterholz,Undirected,124,,3,"#09090a"
Winsen(Harburg),Luneburg,Undirected,125,,9,"#064775"
Winsen(Harburg),Rotenburg(Wumme),Undirected,126,,4,"#0b2437"
Winsen(Harburg),Stade,Undirected,127,,4,"#0b2437"
Soltau(Heidekreis),Uelzen,Undirected,128,,8,"#0b558b"
Soltau(Heidekreis),Celle,Undirected,129,,3,"#09090a"
Soltau(Heidekreis),Luneburg,Undirected,130,,3,"#09090a"
Soltau(Heidekreis),Rotenburg(Wumme),Undirected,131,,3,"#09090a"
Soltau(Heidekreis),Stade,Undirected,132,,3,"#09090a"
Soltau(Heidekreis),Verden,Undirected,133,,4,"#0b2437"
Soltau(Heidekreis),Winsen(Harburg),Undirected,134,,4,"#0b2437"
