Id,Label,pop_2018,pop_2013,pop_2008,pop_2003,elder,unemp,name,lon,lat,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,Clustering Coefficient,Cluter-ID,clustering,triangles,eigencentrality,modularity_class,Size,Color
Celle,Celle,178936,175552,180130,182665,23.4,6.2,Celle,10.081052,52.624056,4,17.5,2,0.611111,0.681818,3.910714,0.071104,0.339806,0.024162,0.266271,0.266271,0.666667,0,0.666667,4,0.625817,0,53.125,"#ee7993"
Cuxhaven,Cuxhaven,198213,196607,202124,206545,25.3,5.2,Cuxhaven,8.698286,53.86878,3,20,4,0.44,0.560606,0,0,0.614035,0,0.2184,0.2184,1,0,1,3,0.495363,1,62.5,"#3fb17d"
Winsen(Harburg),Winsen(Harburg),252776,242871,244640,238385,22.3,3.9,Winsen(Harburg),10.205921,53.363647,5,24,3,0.611111,0.712121,5.469048,0.099437,0.21374,0.021254,0.342318,0.342319,0.6,0,0.6,6,0.792725,0,77.5,"#ee7993"
Luchow-Dannenberg,Luchow-Dannenberg,48424,48670,49965,51624,27.8,7.5,Luchow-Dannenberg,11.096072,53.09891,3,14,4,0.44,0.55303,0.958333,0.017424,0.350877,0.006114,0.094708,0.094707,0.666667,1,0.666667,2,0.247666,0,40,"#ee7993"
Luneburg,Luneburg,183372,176727,176512,173164,20.1,5.4,Luneburg,10.407855,53.248706,4,28,3,0.578947,0.666667,6.184524,0.112446,0.285326,0.032084,0.210083,0.210082,0.5,1,0.5,3,0.510426,0,92.5,"#ee7993"
Osterholz,Osterholz,113517,110882,112486,112502,23.4,3.4,Osterholz-Scharmbeck,8.794824,53.228176,5,28,4,0.52381,0.674242,1.825,0.033182,0.17759,0.005893,0.322288,0.322289,0.6,0,0.6,6,0.734578,1,92.5,"#3fb17d"
Rotenburg(Wumme),Rotenburg(Wumme),163455,161308,164603,164360,21.1,4,Rotenburg(Wumme),9.404929,53.110891,7,23,3,0.647059,0.787879,7.519048,0.13671,0.090634,0.012391,0.434996,0.434996,0.52381,0,0.52381,11,1,1,73.75,"#3fb17d"
Soltau(Heidekreis),Soltau(Heidekreis),139755,136251,140792,142740,22.4,5.5,Soltau(Heidekreis),9.843391,52.985967,7,28,2,0.733333,0.818182,14.138095,0.257056,0.095694,0.024599,0.414604,0.414604,0.428571,0,0.428571,9,0.97261,0,92.5,"#ee7993"
Stade,Stade,203102,196516,196891,195098,21.4,5.2,Stade,9.475438,53.599794,5,21,3,0.578947,0.69697,2.792857,0.050779,0.196262,0.009966,0.343695,0.343695,0.7,0,0.7,7,0.787581,1,66.25,"#3fb17d"
Uelzen,Uelzen,92572,92356,94940,97324,25.3,5.4,Uelzen,10.558615,52.966838,5,30,3,0.578947,0.69697,11.916667,0.216667,0.135484,0.029355,0.207415,0.207414,0.4,1,0.4,4,0.513088,0,100,"#ee7993"
Verden,Verden,136792,132459,133560,134027,22.3,4.3,Verden,9.228153,52.922341,4,19.5,3,0.55,0.651515,1.285714,0.023377,0.339806,0.007944,0.285286,0.285286,0.666667,0,0.666667,4,0.658351,1,60.625,"#3fb17d"
Luchow,Luchow,48424,48670,49965,51624,27.8,7.5,Luchow,11.156763,52.968667,2,6,4,0.392857,0.484848,0,0,0.9375,0,0.059933,0.059932,1,1,1,1,0.16112,0,10,"#ee7993"
