Source,Target,Type,Id,Label,Weight,Color
Adendorf,Lüneburg,Undirected,0,,2,"#002347"
Reppenstedt,Lüneburg,Undirected,1,,2,"#002347"
Bardowick,Lüneburg,Undirected,2,,11,"#002347"
Bardowick,Adendorf,Undirected,3,,1,"#002347"
Amt Neuhaus,Bleckede,Undirected,4,,2.5,"#002347"
Deutsch Evern,Lüneburg,Undirected,5,,3,"#002347"
Scharnebeck,Lüneburg,Undirected,6,,1,"#002347"
Scharnebeck,Adendorf,Undirected,7,,1,"#002347"
Scharnebeck,Bardowick,Undirected,8,,1,"#002347"
Brietlingen,Lüneburg,Undirected,9,,3,"#002347"
Brietlingen,Adendorf,Undirected,10,,3,"#002347"
Brietlingen,Scharnebeck,Undirected,11,,1,"#002347"
Melbeck,Lüneburg,Undirected,12,,4,"#002347"
Melbeck,Deutsch Evern,Undirected,13,,5,"#002347"
Dahlenburg,Bleckede,Undirected,14,,1,"#002347"
Dahlenburg,Amt Neuhaus,Undirected,15,,1.5,"#002347"
Neetze,Lüneburg,Undirected,16,,2,"#002347"
Neetze,Bleckede,Undirected,17,,2,"#002347"
Embsen,Lüneburg,Undirected,18,,4,"#002347"
Embsen,Amelinghausen,Undirected,19,,3,"#002347"
Embsen,Deutsch Evern,Undirected,20,,3,"#002347"
Embsen,Melbeck,Undirected,21,,1,"#002347"
Barendorf,Lüneburg,Undirected,22,,3,"#002347"
Barendorf,Scharnebeck,Undirected,23,,1,"#002347"
Barendorf,Dahlenburg,Undirected,24,,3,"#002347"
Barendorf,Neetze,Undirected,25,,1.5,"#002347"
Kirchgellersen,Reppenstedt,Undirected,26,,2,"#002347"
Kirchgellersen,Deutsch Evern,Undirected,27,,1,"#002347"
Vögelsen,Lüneburg,Undirected,28,,1,"#002347"
Vögelsen,Reppenstedt,Undirected,29,,1,"#002347"
Vögelsen,Bardowick,Undirected,30,,1,"#002347"
Vögelsen,Kirchgellersen,Undirected,31,,1,"#002347"
Radbruch,Lüneburg,Undirected,32,,5,"#002347"
Radbruch,Bardowick,Undirected,33,,9,"#002347"
