Source,Target,Type,Id,Label,Weight,Color
Corlu,Cerkezkoy,Undirected,0,,5,"#000000"
Edirne,Babaeski,Undirected,1,,3,"#000000"
Ergene,Corlu,Undirected,2,,3,"#000000"
Havsa,Babaeski,Undirected,3,,6,"#000000"
Havsa,Edirne,Undirected,4,,6,"#000000"
Hayrabolu,Babaeski,Undirected,5,,2,"#000000"
Ipsala,Enez,Undirected,6,,1,"#000000"
Kapakli,Cerkezkoy,Undirected,7,,3,"#000000"
Kapakli,Ergene,Undirected,8,,1.5,"#000000"
Kesan,Enez,Undirected,9,,1,"#000000"
Kesan,Ipsala,Undirected,10,,3,"#000000"
Kirklareli,Babaeski,Undirected,11,,3,"#000000"
Kirklareli,Edirne,Undirected,12,,2,"#000000"
Kirklareli,Havsa,Undirected,13,,1.5,"#000000"
Kofcaz,Kirklareli,Undirected,14,,1,"#000000"
Lalapasa,Edirne,Undirected,15,,2,"#000000"
Luleburgaz,Babaeski,Undirected,16,,6,"#000000"
Luleburgaz,Cerkezkoy,Undirected,17,,2.5,"#000000"
Luleburgaz,Edirne,Undirected,18,,3,"#000000"
Luleburgaz,Ergene,Undirected,19,,6,"#000000"
Luleburgaz,Hayrabolu,Undirected,20,,2,"#000000"
Luleburgaz,Kapakli,Undirected,21,,2,"#000000"
Luleburgaz,Kirklareli,Undirected,22,,2.5,"#000000"
Malkara,Hayrabolu,Undirected,23,,1,"#000000"
Malkara,Kesan,Undirected,24,,3,"#000000"
Marmara Ereglisi,Cerkezkoy,Undirected,25,,3,"#000000"
Marmara Ereglisi,Corlu,Undirected,26,,2,"#000000"
Meric,Ipsala,Undirected,27,,1,"#000000"
Meric,Kesan,Undirected,28,,1,"#000000"
Muratli,Corlu,Undirected,29,,3,"#000000"
Muratli,Ergene,Undirected,30,,2,"#000000"
Muratli,Hayrabolu,Undirected,31,,1,"#000000"
Muratli,Luleburgaz,Undirected,32,,6,"#000000"
Pehlivankoy,Babaeski,Undirected,33,,4,"#000000"
Pehlivankoy,Edirne,Undirected,34,,3,"#000000"
Pehlivankoy,Havsa,Undirected,35,,1.5,"#000000"
Pehlivankoy,Luleburgaz,Undirected,36,,3,"#000000"
Pinarhisar,Demirkoy,Undirected,37,,2,"#000000"
Pinarhisar,Kirklareli,Undirected,38,,2,"#000000"
Pinarhisar,Luleburgaz,Undirected,39,,2,"#000000"
Saray,Ergene,Undirected,40,,1,"#000000"
Saray,Kapakli,Undirected,41,,3,"#000000"
Saray,Luleburgaz,Undirected,42,,2,"#000000"
Sarkoy,Kesan,Undirected,43,,2,"#000000"
Sarkoy,Malkara,Undirected,44,,2,"#000000"
Suleymanpasa,Corlu,Undirected,45,,3,"#000000"
Suleymanpasa,Hayrabolu,Undirected,46,,2,"#000000"
Suleymanpasa,Malkara,Undirected,47,,3,"#000000"
Suleymanpasa,Marmara Ereglisi,Undirected,48,,3,"#000000"
Suleymanpasa,Muratli,Undirected,49,,6,"#000000"
Suleymanpasa,Sarkoy,Undirected,50,,3,"#000000"
Suloglu,Edirne,Undirected,51,,1,"#000000"
Suloglu,Havsa,Undirected,52,,1,"#000000"
Suloglu,Lalapasa,Undirected,53,,1,"#000000"
Uzunkopru,Havsa,Undirected,54,,3,"#000000"
Uzunkopru,Hayrabolu,Undirected,55,,1,"#000000"
Uzunkopru,Ipsala,Undirected,56,,1.5,"#000000"
Uzunkopru,Kesan,Undirected,57,,3,"#000000"
Uzunkopru,Meric,Undirected,58,,1,"#000000"
Uzunkopru,Pehlivankoy,Undirected,59,,4,"#000000"
Vize,Demirkoy,Undirected,60,,2,"#000000"
Vize,Luleburgaz,Undirected,61,,2,"#000000"
Vize,Pinarhisar,Undirected,62,,2,"#000000"
Vize,Saray,Undirected,63,,2,"#000000"
