Id,Label,pop_2018,annual pop_growth,pop_chg_2013_2018,65,lon_x,lat_y,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Size,Color
Corlu,Corlu,262862,9.3,3.11,6.41,27.804107,41.159087,5,16,4,0.369863,0.469136,7.215873,23.272728,"#000000"
Cerkezkoy,Cerkezkoy,166789,54.6,8.07,3.44,27.999139,41.285105,4,13.5,5,0.402985,0.485802,17.604762,19.454546,"#000000"
Edirne,Edirne,180327,7.9,1.91,10,26.558722,41.675933,7,20,4,0.457627,0.561728,39.095833,30.909092,"#000000"
Babaeski,Babaeski,48391,3.4,-0.65,16.9,27.090724,41.42994,6,24,4,0.473684,0.558642,12.931548,27.09091,"#000000"
Ergene,Ergene,62458,25.6,1.92,8.96,27.765826,41.196525,5,13.5,5,0.409091,0.504321,8.397619,23.272728,"#000000"
Havsa,Havsa,18947,3.5,-1.32,19.8,26.820564,41.549304,6,19,4,0.428571,0.524691,31.12381,27.09091,"#000000"
Hayrabolu,Hayrabolu,32137,3.2,-1.03,16.6,27.108176,41.214671,6,9,3,0.509434,0.580247,64.449206,27.09091,"#000000"
Ipsala,Ipsala,27498,3.5,-1.07,16.7,26.383985,40.921706,4,6.5,5,0.3375,0.42716,8.379365,19.454546,"#000000"
Enez,Enez,10886,42.4,0.73,21.3,26.085233,40.724454,2,2,6,0.27,0.337037,0,11.818182,"#000000"
Kapakli,Kapakli,116882,40.3,6.35,4.08,27.976187,41.32706,4,9.5,5,0.391304,0.476543,1.166667,19.454546,"#000000"
Kesan,Kesan,84442,32.4,1.11,13.2,26.631893,40.855654,6,13,5,0.36,0.476543,30.564683,27.09091,"#000000"
Kirklareli,Kirklareli,102909,27.5,2.83,11.9,27.223552,41.737022,6,12,4,0.457627,0.549383,36.282738,27.09091,"#000000"
Kofcaz,Kofcaz,2368,-27.5,-2.6,29.9,27.157854,41.944962,1,1,5,0.317647,0.357407,0,8,"#000000"
Lalapasa,Lalapasa,6680,11.9,-1.47,20.3,26.734529,41.839901,2,3,5,0.321429,0.379012,0,11.818182,"#000000"
Luleburgaz,Luleburgaz,148037,4.8,1.29,10.5,27.359374,41.406484,12,39,4,0.5625,0.688272,146.061508,50,"#000000"
Malkara,Malkara,52758,5.7,-0.2,16.6,26.90238,40.893082,4,9,4,0.397059,0.475309,15.356349,19.454546,"#000000"
Marmara Ereglisi,Marmara Ereglisi,25873,50.5,2.55,14.3,27.948255,40.970074,3,8,4,0.355263,0.425926,2.150794,15.636364,"#000000"
Meric,Meric,14201,28.6,-0.8,25.2,26.420762,41.191382,3,3,5,0.333333,0.408642,0,15.636364,"#000000"
Muratli,Muratli,28537,14.5,1.29,11.3,27.501511,41.172293,5,18,4,0.457627,0.533951,16.575397,23.272728,"#000000"
Pehlivankoy,Pehlivankoy,3565,-7.8,-2.95,28.1,26.919907,41.34719,5,15.5,3,0.473684,0.54321,23.372024,23.272728,"#000000"
Pinarhisar,Pinarhisar,18375,-7.5,-0.7,19.9,27.516302,41.626105,4,8,5,0.397059,0.482716,15.5,19.454546,"#000000"
Demirkoy,Demirkoy,9093,69.6,1.47,15.8,27.765147,41.824151,2,4,6,0.293478,0.353704,0,11.818182,"#000000"
Saray,Saray,49106,-1.5,0.81,11,27.921399,41.442679,4,8,5,0.391304,0.476543,2.059524,19.454546,"#000000"
Sarkoy,Sarkoy,32565,32.7,1.66,18.8,27.115452,40.613027,3,7,5,0.3375,0.42037,6.180159,15.636364,"#000000"
Suleymanpasa,Suleymanpasa,199960,19.8,2.21,10.3,27.502848,40.975662,6,20,4,0.402985,0.506173,30.646032,27.09091,"#000000"
Suloglu,Suloglu,7062,-13.6,-2.14,18.3,26.908007,41.765698,3,3,4,0.350649,0.416667,2.291667,15.636364,"#000000"
Uzunkopru,Uzunkopru,61485,-7,-1.12,18.5,26.685596,41.262606,6,13.5,4,0.45,0.540123,74.394444,27.09091,"#000000"
Vize,Vize,28122,27.5,0.16,17.8,27.767038,41.572868,4,8,5,0.385714,0.47037,11.2,19.454546,"#000000"
