Dataset,Variant,Spearman_rho,Top10_Jaccard,Top10_Baseline,Top10_Variant
Dannenberg_matrix,Binary,0.853959697,1,"Bergen an der Dumme, Clenze, Damnatz, Dannenberg (Elbe), Gartow, Gohrde, Gorleben, Gusborn, Hitzacker (Elbe), Hohbeck","Bergen an der Dumme, Clenze, Damnatz, Dannenberg (Elbe), Gartow, Gohrde, Gorleben, Gusborn, Hitzacker (Elbe), Hohbeck"
Dannenberg_matrix,Exponential_tau3,0.983807089,1,"Bergen an der Dumme, Clenze, Damnatz, Dannenberg (Elbe), Gartow, Gohrde, Gorleben, Gusborn, Hitzacker (Elbe), Hohbeck","Bergen an der Dumme, Clenze, Damnatz, Dannenberg (Elbe), Gartow, Gohrde, Gorleben, Gusborn, Hitzacker (Elbe), Hohbeck"
Babaeski_SN_matrix,Binary,0.766351172,1,"Agayeri, Alpullu, Babaeski , Buyukmandira, Cavuskoy, Cengerli, Cigdemli, Demirkapi, Dugunculu, Erikleryurdu","Agayeri, Alpullu, Babaeski , Buyukmandira, Cavuskoy, Cengerli, Cigdemli, Demirkapi, Dugunculu, Erikleryurdu"
Babaeski_SN_matrix,Exponential_tau3,0.955992628,1,"Agayeri, Alpullu, Babaeski , Buyukmandira, Cavuskoy, Cengerli, Cigdemli, Demirkapi, Dugunculu, Erikleryurdu","Agayeri, Alpullu, Babaeski , Buyukmandira, Cavuskoy, Cengerli, Cigdemli, Demirkapi, Dugunculu, Erikleryurdu"
Luleburgaz_SN_matrix,Binary,0.883014406,1,"Ahmetbey, Akcakoy, Alacaoglu, Ayvali, Buyukkaristiran, Celaliye, Cengelli, Cesmekolu, Ceylankoy, Ciftlikkoy","Ahmetbey, Akcakoy, Alacaoglu, Ayvali, Buyukkaristiran, Celaliye, Cengelli, Cesmekolu, Ceylankoy, Ciftlikkoy"
Luleburgaz_SN_matrix,Exponential_tau3,0.990398414,1,"Ahmetbey, Akcakoy, Alacaoglu, Ayvali, Buyukkaristiran, Celaliye, Cengelli, Cesmekolu, Ceylankoy, Ciftlikkoy","Ahmetbey, Akcakoy, Alacaoglu, Ayvali, Buyukkaristiran, Celaliye, Cengelli, Cesmekolu, Ceylankoy, Ciftlikkoy"
Luneburg _SN_matrix,Binary,0.76724543,1,"Adendorf, Amelinghausen, Amt Neuhaus, Artlenburg, Bardowick, Barendorf, Barnstedt, Barum, Betzendorf, Bleckede","Adendorf, Amelinghausen, Amt Neuhaus, Artlenburg, Bardowick, Barendorf, Barnstedt, Barum, Betzendorf, Bleckede"
Luneburg _SN_matrix,Exponential_tau3,0.957281649,1,"Adendorf, Amelinghausen, Amt Neuhaus, Artlenburg, Bardowick, Barendorf, Barnstedt, Barum, Betzendorf, Bleckede","Adendorf, Amelinghausen, Amt Neuhaus, Artlenburg, Bardowick, Barendorf, Barnstedt, Barum, Betzendorf, Bleckede"
Makro_Luneburg_SN_Matrix,Binary,0.710312791,1,"Celle, Cuxhaven, Luchow, Luchow-Dannenberg, Luneburg, Osterholz, Rotenburg(Wumme), Soltau(Heidekreis), Stade, Uelzen","Celle, Cuxhaven, Luchow, Luchow-Dannenberg, Luneburg, Osterholz, Rotenburg(Wumme), Soltau(Heidekreis), Stade, Uelzen"
Makro_Luneburg_SN_Matrix,Exponential_tau3,0.831006522,1,"Celle, Cuxhaven, Luchow, Luchow-Dannenberg, Luneburg, Osterholz, Rotenburg(Wumme), Soltau(Heidekreis), Stade, Uelzen","Celle, Cuxhaven, Luchow, Luchow-Dannenberg, Luneburg, Osterholz, Rotenburg(Wumme), Soltau(Heidekreis), Stade, Uelzen"
Makro_Trakya_SN_Matrix,Binary,0.885075479,1,"Babaeski, Cerkezkoy, Corlu, Demirkoy, Edirne, Enez, Ergene, Havsa, Hayrabolu, Ipsala","Babaeski, Cerkezkoy, Corlu, Demirkoy, Edirne, Enez, Ergene, Havsa, Hayrabolu, Ipsala"
Makro_Trakya_SN_Matrix,Exponential_tau3,0.988741637,1,"Babaeski, Cerkezkoy, Corlu, Demirkoy, Edirne, Enez, Ergene, Havsa, Hayrabolu, Ipsala","Babaeski, Cerkezkoy, Corlu, Demirkoy, Edirne, Enez, Ergene, Havsa, Hayrabolu, Ipsala"
